"","","","Relative","Humidity",""
"","Temperature (0C)","","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","60","Showers or thundershowers at times"
"Batticaloa","33","24","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","90","80","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","25","90","60","Showers or thundershowers at times"
"Kandy","30","21","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","12","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","22","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","95","60","Showers or thundershowers at times"
"Mannar","33","25","90","70","Showers or thundershowers after 2.00p.m"
