"","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","","","බලපෑමට ලක්වු","","","","","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","ghjpf;fg;gl;l","","","","","","","",""
"Administrative purview","","","","","","","tPLfs; Houses","","Other Damages","miktplk; Safe Location",""
"","","","Affected","","තුවාලවු","අතුරුදහ","","","","",""
"","","","","","","","Damaged","","","",""
"","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","",""
"පළාත","ආපදාව","","","","","","","","","",""
"","","","","kuzq;f","fhakil","fhzhky;","","පරිමාණ වයාපාරික","","","ලවනත් කරුණු"
"khfhzk; 
#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","ඉතා වැදගත් යටිතල","ආරක්ිත",""
"","","","","s;","e;NjhH","NghNdhH","","","","","NtW Fwpg;Gf;fs; Remarks"
"Province","","","","","","","","ස්ත්‍","රථාන சிறிய,","",""
"","Disaster","Date of","","Deaths","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ",""
"","","","පවුේ","","","","පූර්ණ 
අර්ධ හානි","","நடுத்தர,","",""
"දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","","","පුද්ගලයින්","","","","","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","commenced","ස්ත්‍ංඛ්‍යාව","","Injured","Missing","හානි 
gFjpas","","நிறுவனங் க","",""
"gpuNjr nra.gp    
மாவட்டம்","","","","egHfs;","","","","","fl;likg;Gf;fs;","vz;zpf;i
egHfs; 
FLk;gq;f",""
"","","","FLk;gq;fs;","","People","People","T 
KOik","","ளின்","",""
"","","","","People","","","","","Damages to","s; 
Persons
f   No.",""
"DS Division
District","","","Families","","","","Partially
Fully","","சேதங் கள்","",""
"","","","","","","","","","critical","Families
of Safety",""
"","","","","","","","","Small, Medium,","","",""
"","","","","","","","","","Infrastructure","Locations",""
"","","","","","","","","","Enterprises","",""
"","","","","","","","","","Damages","",""
"Udunuwara","","2021.09.06","1","4","","","1","","","",""
