"","","Page 2","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"136","531","","0","0","0","0","84","17","0","1","40","135",""
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","","",""
"","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","","",""
"","","……………………………………………………….","","","","","","","","","","",""
"","","","H.D.G. Priyantha","","","","","","","","","",""
"","","","Assisant  Director / Duty Officer","","","","","","","","","",""
"","","","For Director General","","","","","","","","","",""
"","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","","","","","",""
