"Lightning","2019.11.24","1","4","","","","","1","","","","",""
"","","2","8","0","0","0","0","2","0","0","0","0","0"
"","","2","8","0","0","0","0","2","0","0","0","0","0"
"","","648","2545","5","1","0","1","43","3","0","1","61","203"
"","","","","රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","",""
"","","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","","……………………………………………………….","","","","","","","","",""
"","","","","Thusitha Waidyarathne","","","","","","","","",""
"","","","","Assistant Director  / Duty Officer","","","","","","","","",""
"","","","","For Director General","","","","","","","","",""
"","","","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","","","",""
