"","Godakawela","High Wind","2024.05.19","1","3","","","","","1","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Pelmadulla","","2024.05.20","3","9","","","","","3","","","","",""
"","","wind","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","28","100","0","2","0","0","27","0","0","0","0","0"
"","පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","","28","100","0","2","0","0","27","0","0","0","0","0"
"","කිලින ොච්චිය","","","","","","","","","","","","","","Drinking water is being"
"2
fpspnehr;rp","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","distributed for drought"
"","","","","","","","","","","","","","","","areas"
"Killinochchi","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","432","946","0","0","0","0","0","0","0","0","0","0"
"උතුරු පලොත","","","","","","","","","","","","","","",""
"tl khfhzk;","Velanai","","2024.05.18","","","","","","","","1","","","",""
"යොප ය","","","","","","","","","","","","","","",""
"3","","High Wind / Rain","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","",""
"","aho;g;ghzk; Jaffna","","","","","","","","","","","","","",""
"","Tellipalai","","2024.05.19","1","2","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","1","2","0","0","0","0","0","1","0","0","0","0"
"","පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","","433","948","0","0","0","0","0","1","0","0","0","0"
"","Horana","Lightning","2024.05.20","2","8","","","","","2","","","","",""
"","Mathugama","High Wind","2024.05.19","5","16","","","","","5","","","","",""
"","Madurawela","Cutting faliture","2024.05.19","5","14","","","","","5","","","","",""
"","Palindanuwara","High Wind","2024.05.19","1","7","","","","","1","","","","",""
"","Beuwela","High Wind","2024.05.20","2","5","","","","","2","","","","",""
"ළුතර","","","","","","","","","","","","","","",""
"","Kaluthara","High Wind","2024.05.19","6","27","","","","","6","","","","",""
"4
fSj;Jiw","","","","","","","","","","","","","","",""
"","Bandaragama","High Wind","2024.05.20","1","5","","","","","1","","","","",""
"Kalutara","","","","","","","","","","","","","","",""
"","Bulathsinhala","High Wind","2024.05.20","1","3","","","","","1","","","","",""
"","Ingiriya","High Wind","2024.05.20","2","3","","","","","2","","","","",""
"","Agalawattha","High Wind","2024.05.19","2","7","","","","","2","","","","",""
"","Walallawita","High Wind","2024.05.19","1","3","","1","","","1","","","","",""
"","Millaniya","High Wind","2024.05.20","8","25","","","","","8","","","1","8","25 Roman Catholic Church"
"Western","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","36","123","0","1","0","0","36","0","0","1","8","25"
"Nky; khfhzk;","","","","","","","","","","","","","","",""
"","Gampaha","Heavy Rain / Wind","2024.05.17","3","12","","","","","3","","","","",""
"බස්ත්‍ර ොහිර පලොත","","","","","","","","","","","","","","",""
"","Dompe","Lightning","2024.05.14","1","4","","","","","1","","","","",""
"","Mahara
ගම්පහ","Heavy Rain / Lightning","2024.05.18","3","12","","","","","3","","","","",""
"5","","","","","","","","","","","","","","",""
"","fk;g`h Gampaha
Negombo","Flash Flood","2024.05.20","45","227","","","","","1","","","","",""
"","Mirigama","Heavy Rain","2024.05.20","1","6","","","","","1","","","","",""
"","Ja-Ela","Flash Flood","2024.05.20","80","300","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","133","561","0","0","0","0","9","0","0","0","0","0"
"න ොළඹ","","","","","","","","","","","","","","",""
"6","Thimbirigasyaya","Flash Flood","2024.05.20","347","1491","","","","","","","","1","9","52 Wanathamulla"
"","","","","","","","","","","","","","","","Community Hall"
"","nfhOk;G Colombo","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","347","1491","0","0","0","0","0","0","0","1","9","52"
"","පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","","516","2175","0","1","0","0","45","0","0","2","17","77"
"","Hikkaduwa","High Wind","2024.05.18","2","6","","","","","2","","","","",""
"","Niyagama","High Wind","2024.05.18","1","3","","","","","1","","","","",""
