"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","6261","25678","0","0","0","0","10","0","0","10","537","1775"
"පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","6261","25678","0","0","0","0","10","0","0","10","537","1775"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","7323","29228","0","3","0","0","164","2","0","12","554","1852"
"","","","ආපදො  ළම ො රණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Cdr RGTS Karunarathne","","","","","","","","",""
"","","","Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
