"1","2","","","","","1","",""
"27","76","0","0","0","0","23","0","0"
"27","76","0","0","0","0","23","0","0"
"2805","9657","0","4","0","6","2556","154","25"
"","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","",""
"","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","",""
"","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","",""
"","","……………………………………………………….","","","","","",""
"","","Nuwan Madhawanarachchi","","","","","",""
"","","Assistant Director  / Duty Officer","","","","","",""
"","","For Director General","","","","","",""
"","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","",""
