"","Weather Forecast for Main Cities","","","","4-Apr-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","24","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","95","65","Showers or thundershowers are likely after 4.00p.m"
"Galle","30","25","95","75","Showers or thundershowers"
"Jaffna","33","24","80","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","32","20","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","10","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","24","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","32","25","90","65","Showers or thundershowers after 4.00p.m"
