"","දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :23rd May 2024 at 0900hrs","","","","","","","","","",""
"","","","","","","","නිවාස්ත්‍ හානි","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","","miktplk; Safe Location",""
"","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","ආපදාව","","","","","","","කුඩා හා මධය","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","kuzq;f","fhakil","fhzhky;","","ඉතා වැදගත් යටිතල 
පරිමාණ වයාපාරික","","ආරක්ිත",""
"#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","s;","e;NjhH","NghNdhH","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන  
පවුේ",""
"Province","","","","","","","පූර්ණ","ස්ත්‍
රථාන சிறிய,","","","Remarks"
"දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","අර්ධ හානි","හානි mbg;gilf; 
நடுத்தர,","","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","හානි","","","",""
"மாவட்டம்","","commenced","","","Injured","Missing","gFjpasT","நிறுவனங் களி
fl;likg;Gf;fs;","","vz;zpf;i
egHfs;",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","","","","","FLk;gq;f",""
"","","","","","People","People","KOik","ன
்  சேதங் கள்","","",""
"","","","Families
People","","","","Partially","Damages to","","s; 
Persons
f   No.",""
"District
Division","","","","","","","Fully","Small, Medium,","","",""
"","","","","","","","","critical","","Families
of Safety",""
"","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","Damages","","",""
"Ayagama","Tree fallen","2024.05.20/21","7
27","","2","","6","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Kolanna","","2023.05.20/21/22","15
56","","","","15","","","",""
"","wind","","","","","","","","","",""
"Godakawela","High Wind","2024.05.19/22","9
32","","","","1
7","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Balangoda","","2024.05.20/21","14
42","1","2","","11","","","",""
"","wind","","","","","","","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Kalthota","","2024.05.20/21","2
6","","","","2","","","",""
"","wind","","","","","","","","","",""
"Rathnapura","Lightning","2024.05.20","19
69","","3","","19","","","",""
"Weligapola","High Wind","2024.05.20","5
15","","","","5","","","",""
"","Heavy Rain and","","","","","","","","","",""
"Kuruvita","","2024.05.19","15
64","","","","15","","","",""
"","cutting faliture","","","","","","","","","",""
"","Tree fallan","2024.05.20","1
4","","","","1","","","",""
"kiriella","","","","","","","","","","",""
"","High Wind","2024.05.22","2
5","","","","2","","","",""
"","High Wind","2024.05.19","8
31","","","","8","","","",""
"රත්නපුර  
Elapatha","","","","","","","","","","",""
"","High Wind","2024.05.22","12
46","","","","12","","","",""
",uj;jpdGhp","","","","","","","","","","",""
"Rathnapura","Heavy Rain and high","","","","","","","","","",""
"","","2024.05.20","12
42","","","","4","","","",""
"Kalawana","wind","","","","","","","","","",""
"","High Wind","2024.05.22","2
10","","","","2","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Imbulpe","","2024.05.20","10
43","","","","9","","","",""
"","wind","","","","","","","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"","","2024.05.20","2
8","","","","2","","","",""
"Kahawattha","wind","","","","","","","","","",""
"","High wind","2024.05.22","5
16","","","","5","","","",""
"ස්ත්‍බරගමුව පලාත","Heavy Rain and high","","","","","","","","","",""
"Palmadulla","","2024.05.20","29
99","","","","1
28","","","",""
"rg;ufKt","wind","","","","","","","","","",""
"Sabaragamuwa","Heavy Rain and high","","","","","","","","","",""
"Nivithigala","","2024.05.20","5
22","","","","5","","","",""
"","wind","","","","","","","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Eheliyagoda","","2024.05.20","18
63","","","","18","","","",""
"","wind","","","","","","","","","",""
"","Heavy Rain and high","","","","","","","","","",""
"Opanayake","","2024.05.20","4
16","","","","4","","","",""
"","wind","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","196
716","1","7","0","2
180","0","0","0
0","0"
"Rambukkana","Tree fallen","2024.05.20","1
3","","","","1","","","",""
"","Lightning","2024.05.20","1
4","","","","1","","","",""
"Galigamuwa","Tree falen","2024.05.20","3
12","","","","3","","","",""
"","Tree falen","2024.05.21","4
13","","","","4","","","",""
"","Heavy Rain","2024.05.20","1
2","","","","1","","","",""
"Warakapola","Tree fallen","2024.05.20","1
4","","","","1","","","",""
"කෑගල්ල Nffhiy","Tree fallen","2024.05.20","2
9","","","","2","","","",""
"2","","","","","","","","","","",""
"Kegalle
Ruwanwella","High wind","2024.05.21","15
59","","","","15","","","",""
"Kegalle","Tree fallen","2024.05.20","1
4","","","","1","","","",""
"","Tree fallen","2024.05.20","1
4","","","","1","","","",""
"Dehiovita","","","","","","","","","","",""
"","High Wind","2024.05.21","1
4","","","","1","","","",""
"Deraniyagala","High Wind","2024.05.20","4
15","","","","4","","","",""
"Yatiyanthota","Tree Fallen","2024.05.20","6
26","","","","6","","","",""
"Bulathkohupitiya","High Wind","2024.05.20","1
4","","","","1","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","42
163","0","0","0","0
42","0","0","0
0","0"
