"Nky;","","","","","","","","","","","","","","","",""
"කළුතර","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"2","Kalutara
fSj;Jiw","Fire
2022.03.30","1","5","","2","","","1","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","",""
"Kalutara","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","5","0","2","0","0","1","","0","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","30","113","0","2","0","27","3","","0","","0","2","29","102"
"","Godakawela","High wind","1","4","","","","","","","","","","","",""
"","Elapatha","High wind","2","10","","","","","","","","","","","",""
"","Imbulpe","Heavy rain & wind","3","13","","","","","","","","","","","",""
"","Rathnapura","High wind","19","68","","","","","","","","","","","",""
"","","2022.03.29","","","","","","","","","","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","",""
"","Opanayake","High wind","6","20","","","","","","","","","","","",""
"3",",uj;jpdGhp","","","","","","","","","","","","","","",""
"","Weligepola","High wind","1","3","","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","",""
"","Kalawana","High wind","2","6","","","","","","","","","","","",""
"","Pelmadulla","High wind","2","6","","","","","","","","","","","",""
"","Kaltota","High wind","7","27","","","","","7","","","","","","",""
"","","2022.03.31","","","","","","","","","","","","","",""
"","Nivithigala","High wind","2","5","","","","","2","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","45","162","0","0","0","0","9","","0","","0","0","0","0"
"ස්ත්‍බරගමුව","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","45","162","0","0","0","0","9","","0","","0","0","0","0"
"පලාත","","","","","","","","","","","","","","","",""
"","Warakapola","High wind
2022.03.30","3","12","","","","","3","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuw","Deraniyagala","Lightning
2022.03.30","3","13","","","","","3","","","","","","",""
"a","Ruwanwella","Tree Fallen
2022.03.30","1","5","","","","","1","","","","","","",""
"","","Tree Fallen","1","4","","","","","1","","","","","","",""
"","Yatiyantota","2022.03.30","","","","","","","","","","","","","",""
"","","Lightning","1","4","","","","","1","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","",""
"","Mawanella","Tree Fallen
2022.03.30","2","9","","","","","2","","","","","","",""
"4","Nffhiy","","","","","","","","","","","","","","",""
"","","Lightning
2022.03.29","1","2","","","","","1","","","","","","",""
"Kegalle","","","","","","","","","","","","","","","",""
"","Kegalle","High wind
2022.03.30-31","5","19","","","","","5","","","","","","",""
"","","Tree Fallen
2022.03.30","2","6","","","","","2","","","","","","",""
"","Aranayaka","High wind
2022.03.31","22","85","","","","","25","","","","","","",""
"","","Lightning
2022.03.31","1","3","","","","","1","","","","","","",""
"","Galigamuwa","","","","","","","","","","","","","","",""
"","","High wind
2022.03.31","3","10","","","","","3","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","45","172","0","0","0","0","48","","0","","0","0","0","0"
