"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","3","7","0","0","0","0","3","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","56","7","0","1","0","0","56","0","0","0","0","0"
"","","","","ආපදො කළ නොකරණ  ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","","මෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","","…....….....................................","","","","","","","",""
"","","","Shan Pathirana","","","","","","","","",""
"","","","","Deputy Director/Duty Officer","","","","","","","",""
"","","","","For Director General","","","","","","","",""
"","","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","",""
