"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","1","6
0
0
0
0
1
0
0
0
0","0"
"","43","184
0
0
0
1
28
0
0
0
0","0"
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :",""
"","","ප්‍රදීප් ගකාඩිප්ිලි මයා  , jpU.gpujPg; nfhbg;gpyP> Mr. Pradeep Kodippili         
                                  ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com",""
"","","ගවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk",""
"","","……………………………………………………….",""
"","","CI / R.D.Dalugoda",""
"","","Police Coordinator / Duty Officer",""
"","","For Director General",""
"","","* This is an authorized report by DMC - EOC duty officer. No Signature is required",""
