"","","","","","","","","","","","","","","","","Enterprises","","Infrastructure","Locations","","",""
"","","","","","","","","","","","","","","","","Damages","","","","","",""
"","","රත්නපුර","","","","","","","","","","","","","","","","","","","",""
"","","","Kiriella","Lightning","2023.05.14","","2","","7","","","","","","2","","","","","","",""
"සබරගමුෙ පලාත","1",",uj;jpdGhp","","","","","","","","","","","","","","","","","","","",""
"","","Rathnapura","Weligapola","High Wind","2023.05.15","","1","","3","","","","","","1","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","","3","","10","0","0","0","","0","3","","0","0","0","","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","","3","","10","0","0","0","","0","3","","0","0","0","","0","0"
"","","පුත්තලම","","","","","","","","","","","","","","","","","","","",""
"","","","Pallama","","2023.05.15","","1","","5","","","","","","1","","","","","","",""
"","2","Gj;jsk;","","High Wind","","","","","","","","","","","","","","","","","",""
"ෙයඹ පලාත","","","","","","","","","","","","","","","","","","","","","",""
"","","Puttalam","Nathandiya","","2023.05.15","","1","","1","","","","","","1","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","","","","","","","",""
"North Western","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","","2","","6","0","0","0","","0","2","","0","0","0","","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","","2","","6","0","0","0","","0","2","","0","0","0","","0","0"
"","","","Neluwa","","","","13","","46","","","","","","13","","","","","","",""
"","","ගාල්ල","","","","","","","","","","","","","","","","","","","",""
"","3","","Niyagama","Flood / Heavy Rain","2023.05.14/15/16","","3","","14","","","","","","1","","","","","","",""
"","","fhyp       Galle","","","","","","","","","","","","","","","","","","","",""
"","","","Elpitiya","","","","10","","33","","","","","","10","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","","26","","93","0","0","0","","0","24","","0","0","0","","0","0"
"","","","Malimbada","Flood","","","60","","204","","","","","","","","","","","","",""
"","","","Pasgoda","Flood","","","","","","","","1","","","","","","","","","",""
"දකුනු පලාත/njd;","","","","","","","","","","","","","","","","","","","","","",""
"","","","Kamburupitiya","Flood","","","347","","1326","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","","","","","","",""
"","","මාතර/khj;jiw/Mat","Mulatiyana","Flood","","","434","","1625","","","","","","13","","","","","","",""
"Southern","4","","","","2023.05.14","","","","","","","","","","","","","","","","",""
"","","ara","","","","","","","","","","","","","","","","","","","",""
"","","","Athuraliya","Flood","","","974","","3747","","","","","2","6","","","","","","",""
"","","","Matara","Flood","","","259","","1103","","","","","","","","","","","","",""
"","","","Akuressa","Flood","","","440","","1682","","","","","","3","","","","","","",""
"","","","Thihagoda","Flood","","","141","","649","","","","","","4","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","","2655","10336","","0","0","1","","2","26","","0","0","0","","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","","2681","10429","","0","0","1","","2","50","","0","0","0","","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","","2686","10445","","0","0","1","","2","55","","0","0","0","","0","0"
"","","","","","","","","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","","",""
