"Sabaragamuwa
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","3","14","0","0","0","0","3","0","0","0","0","",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","3","14","0","0","0","0","3","0","0","0","0","",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","125187","420047","18","13","0","97","1789","65","16","17","432","","1463"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","","ලවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
"","","","….....................................","","","","","","","","","Deputy Director",""
"","","","Hiran Thilakarathne","","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","","",""
"","","","For Director General","","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","","",""
