"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","2","7","0","0","0","0","2","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","3","12","0","5","0","1","2","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","141","561","0","5","0","1","37","35","0","0","0"
"","","","ආපදා කළ නාකරණ  ධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","Hiran Thilakarathne","","","","","","","",""
"","","","Assisatant Director / Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","",""
