"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","88","362","0","0","0","0","0","0","0","3","44","190"
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","88","362","0","0","0","0","0","0","0","3","44","190"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","88","362","1","0","0","0","0","0","0","17","425","1111"
"","","","ආපදො කළ නොකරණ  ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","මෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Gp Capt. D M R Dassanayake","","","","","","","","",""
"","","","Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
