"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","1221","5277","0","3","0","0","10","0","0","1","1",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","1278","5499","0","3","0","1","54","0","0","2","6","24"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","139934","471249","17","19","0","100","2379","10","9","135","4745","15464"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","ලවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….....................................","","","","","","","","","Deputy Director"
"","","","Janake Hadunpathiraja","","","","","","","","",""
"","","","Assistant Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
