"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","42","124","0","0","0","0","0","0","0","1","20","56"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","281","930","0","0","0","0","45","4","0","1","20","56"
"","","","ආපදො කළ නොකරණ  ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","මෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….....................................","","","","","","","","",""
"","","","Cdr RGTS Karunarathne","","","","","","","","",""
"","","","Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
