"","","khtl;lk ;","","","","FLk;gq;f","egHfs;","","Injured","Missin","","","","","","","egHfs; 
FLk;gq;",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","1","4","0","0","0","0","1","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1","4","0","0","0","0","1","0","","0","0","0","0"
"","","නුවරඑලිය","","High Wind","2018.09.30","1","2","","","","","1","","","","","",""
"","","","Nuwara Eliya","","","","","","","","","","","","","","",""
"","4","Etnuypah","","","","","","","","","","","","","","","",""
"","","","","","2018.10.03","31","134","","1","","","10","","","","1","13","58 Muttumani Amman"
"","","Nuwara Eliya","","Warnning","","","","","","","","","","","","","","Kovila"
"","","","Kothmale","Cutting failure","2018.10.03","2","9","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","34","145","0","1","0","0","13","0","","0","1","13","58"
"","","","Kundasale","Cutting failure","2018.10.07","2","10","","","","","","","","","","",""
"","","","","Flood","","15","83","","","","","","","","","","",""
"","","","Akurana","","","","","","","","","","","","","","",""
"","","","","Cutting failure","","1","6","","","","","1","","","","","",""
"","","","","Flood","","3","10","","","","","1","","","","","",""
"","","","Poojapitiya","","2018.09.29","","","","","","","","","","","","",""
"","","","","High Wind","","1","4","","","","1","","","","","","",""
"","","","","Flood","","2","9","","","","","1","","","","","",""
"","","","Harispattuwa","","","","","","","","","","","","","","",""
"","","","","Flood","","1","6","","","","","1","","","","","",""
"","","","","High Wind","","1","4","","","","","1","","","","","",""
"","","","Uda Palatha","","","","","","","","","","","","","","",""
"","","","","Lightning","","3","13","","","","","2","","","","","",""
"","","නුවර","","","","","","","","","","","","","","","",""
"","5","","Yatinuwara","Heavy Rain and","","92","346","","","","2","88","","","","","",""
"මධ්‍යම","","fz;b","","","2018.10.05","","","","","","","","","","","","",""
"","","Kandy","Udunuwara","High wind","","77","291","","3","","","74","","","","","",""
"පලාත/kj;jpa","","","","","","","","","","","","","","","","","",""
"khfhzk;/","","","Pathadumbara","Cutting failure","2018.10.06","22","105","","4","","1","13","","","","","",""
"Central","","","","Heavy rain & wind","2018.10.04","1","4","","","","","1","","","","","",""
"","","","Medadumbara","","","","","","","","","","","","","","",""
"","","","","Cutting failure","2018.10.05","2","9","","","","","2","","","","","",""
"","","","Gangabada Korale","Cutting failure","2018.10.05","5","19","","","","5","","","","","","",""
"","","","","Heavy","","","","","","","","","","","","","",""
"","","","Udapalatha","Rain/Cutting","2018.10.07","15","47","","","","","6","","","","","",""
"","","","","Failure/flood","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","243","966","0","7","0","9","191","0","","0","0","0","0"
