"Pallama
High Wind
tlNky; khfhzk;","2023.02.02","1","2","","","","","1","","","","","","","",""
"North Western","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","9","0","2","0","0","1","","1","1","","0","","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","9","0","2","0","0","1","","1","1","","0","","0","0"
"කෑගල්ල  Nffhiy","","","","","","","","","","","","","","","",""
"2
Kegalle
Tree Falean","2023.02.01","1","4","","","","","1","","","","","","","",""
"Kegalle","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","4","0","0","0","0","1","","0","0","","0","","0","0"
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"rg;ufKt 
Godakawela
High Wind","2023.02.01","1","3","","","","","1","","","","","","","",""
"රත්නපුර ,uj;jpdGhp","","","","","","","","","","","","","","","",""
"3
Sabaragamuwa","","","","","","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","",""
"Balangoda
High Wind","2023.02.02","1","6","","","","","1","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","9","0","0","0","0","2","","0","0","","0","","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","3","13","0","0","0","0","3","","0","0","","0","","0","0"
"","2023.02.02","5","18","","","","","1","","","","","","","",""
"Morawewa","","","","","","","","","","","","","","","",""
"","","4","13","","","","","4","","","","","","","",""
"Kuchchaveli","","12","33","","","","","9","","3","","","","","",""
"Kinniya","","3","11","","","","","3","","","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","",""
"4
Muthur","","6","20","","","","","3","","3","","","","","",""
"High Wind
jp.kiy","","","","","","","","","","","","","","","",""
"Kanthale
නැගගනහිර පලාත","2023.02.01","6","21","","","","","6","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","",""
"fpof;F    Eastern
Thambalakamam","","1","3","","","","","1","","","","","","","",""
"Town & Gravets","","53","179","","","","","53","","6","","","","","",""
"Gomarankadawela","","2","3","","","","","2","","","","","","","",""
"Seruwila","","2","5","","","","","2","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","94","306","0","0","0","0","84","","12","0","","0","","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","94","306","0","0","0","0","84","","12","0","","0","","0","0"
"Lankapura","2023.02.01","9","33","","","","","9","","","","","","","",""
"Medirigiriya
ගපාගලාන්නරුව","2023.02.01","4","16","","","","","4","","","","","","","",""
"","Heavy Rain & High","","","","","","","","","","","","","","",""
"උතුරුමැද පලාත  
nghyd;dWit 
5
Dimbulagala","2023.02.02","14","57","","","","","14","","","","","","","",""
"wind","","","","","","","","","","","","","","","",""
"tlkj;jpa 
Polonnaruwa","","","","","","","","","","","","","","","",""
"Thamankaduwa","2023.02.02","81","290","","","","","24","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"Hingurakgoda","2023.02.02","1","1","","","","","1","","","","","","","",""
"North Central","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","109","397","0","0","0","0","52","","0","0","","0","","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","109","397","0","0","0","0","52","","0","0","","0","","0","0"
