"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","4078","15244","0","0","0","1","35","0","0","5","122","","399"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","4184","15622","0","0","0","1","44","0","0","5","122","","399"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
"","","","….....................................","","","","","","","","","Deputy Director",""
"","","","Janake Hadunpathiraja","","","","","","","","","",""
"","","","Assistant Director/Duty Officer","","","","","","","","","",""
"","","","For Director General","","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","","",""
