"","Weather Forecast for Main Cities","","","","2-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","85","50","Mainly fair"
"Batticaloa","34","25","80","50","Mainly fair"
"Colombo","30","27","85","75","A few showers"
"Galle","29","26","90","75","A few showers"
"Jaffna","33","27","85","65","Mainly fair"
"Kandy","29","23","85","65","Mainly fair"
"Nuwara-Eliya","21","12","90","75","Mainly fair"
"Ratnapura","32","24","85","65","A few showers"
"Trincomalee","35","26","80","50","Mainly fair"
"Mannar","32","26","85","65","Mainly fair"
