"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","214","806","0","0","0","0","5","0","0","0","0",""
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","522","1943","0","0","0","0","8","0","0","1","14","48"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","522","1943","0","0","0","0","8","0","0","1","14","48"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….....................................","","","","","","","","",""
"","","","SI M S D Perera","","","","","","","","",""
"","","","Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
