"","","","","","","Page 2","","","","","","","","","",""
"","","Hambanthota","High Wind","2020.10.28","3","16","","","","","1","2","","","",""
"","හම්බන්ගතාට","Katuwana","Lightning","2020.11.03","2","9","","","","","2","","","","",""
"","8
`k;ghe;Njhl;il","","","","","","","","","","","","","","",""
"දකුනු පලාත   njd;","","Weeraketiya","High Wind","2020.11.03","1","2","","","","","1","","","","",""
"","Hambantota","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"Southern","","Walasmulla","High Wind & Lightning","2020.11.03","2","10","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","37","0","0","0","0","6","2","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","8","37","0","0","0","0","6","2","0","0","0","0"
"","පුත්තලම","","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","",""
"","9
Gj;jsk;","Nawagaththegama","Elephant Attack","2020.10.30","1","3","1","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","","",""
"North","","","","","","","","","","","","","","","",""
"Western","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","3","1","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1","3","1","0","0","0","0","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","69","290","4","0","2","12","40","3","1","3","25","110"
"","","","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
