"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"02.12.23/1730","11.0/83.3","55-65 kmph gusting to 75 kmph","Deep Depression"
"03.12.23/0530","11.8/82.5","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"03.12.23/1730","12.5/81.9","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"04.12.23/0530","13.5/81.1","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"04.12.23/1730","14.5/80.5","85-95 kmph gusting to 105 kmph","Cyclonic Storm"
"05.12.23/0530","15.5/80.7","85-95 kmph gusting to 105 kmph","Cyclonic Storm"
"05.12.23/1730","16.5/81.1","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"06.12.23/0530","17.6/82.2","45-55 kmph gusting to 65 kmph","Depression"
