"","","","","","","","","","","","","","","","","Albian Day care"
"","","Nuwaraeliya","","2018.05.21/31","162","755","","2","","6","85","","","1","1","5"
"","","","","","","","","","","","","","","","","centre"
"","","Ambagamuwa","","2018.05.21/29","124","529","","","","","35","","","","",""
"","","","නායයෑම් අවදානම","","","","","","","","","","","","",""
"","නුවරඑලිය/Etnuyp","","/ඉවුරු කඩා වැටීම","","","","","","","","","","","","",""
"","5
ah/ Nuwara","","kz;rhpT/","","","","","","","","","","","","","Safe Location -"
"","","","","","","","","","","","","","","","","Uidakotasa Community"
"","Eliya/ /","","Landslide Risk","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Hall / Ramboda Hindu"
"","","Kotmale","Cutting Failure","","204","739","","","","1","43","","","3","39","100"
"","","","","","","","","","","","","","","","","School / Masswela"
"","","","","2018.05. 21/29","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Gemunu Maha Vidyalaya /"
"","","","","","","","","","","","","","","","","Dakunumeda kubura hall"
"","","","","","","","","","","","","","","","","One person deid due to"
"","","Walapnae","","","76","306","1","","","1","57","","","","",""
"","","","","","","","","","","","","","","","","Drowning"
"","","Haguranketha","","2018.05.21/29","40","173","","","","","40","","","","",""
"මධ්‍යම","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","606","2502","1","2","0","8","260","0","0","4","40","105"
"පලාත/","","","","","","","","","","","","","","","",""
"kj;jpa","","Ukuwela","","","6","25","","","","","6","","","","",""
"khfhzk;/","","Abangagakorale","","","17","63","","","","","17","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","","Yatawatta","","","3","15","","","","","3","","","","",""
"","","Rattota","","","8","26","","","","","8","","","","",""
"","","Dambulla","","","4","14","","","","","3","","","","",""
"","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"","මාතමල්","","","","","","","","","","","","","","",""
"","6","Naula","fLk; kio Heavy","2018.05.21","6","28","","","","","6","","","","",""
"","khj;jis Matale","","","","","","","","","","","","","","",""
"","","","Rain","","","","","","","","","","","","",""
"","","Wilgamuwa","","","8","30","","","","","8","","","","",""
"","","Pallepola","","","6","20","","","","","6","","","","",""
"","","Galewala","","","7","20","","","","","5","1","","","",""
"","","Matale","","","3","12","","","","","3","","","","",""
"","","Luggala Pallegama","","","4","16","","","","","4","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","72","269","0","0","0","0","69","1","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1119","4684","1","9","0","15","516","3","1","5","49","150"
"","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"","","Ella","","2018.05.20 /","1","5","","","","","1","","","","",""
"","","","fLk; kio Heavy","","","","","","","","","","","","",""
"","","Haliela","","2018.05.30","18","56","","","","","18","","","","",""
"","","","Rain / දැඩි සුලග","","","","","","","","","","","","",""
"","","Pasara","","","5","12","","","","","5","","","","",""
"","","","","","","","","","","","","","","","","one person deid due"
"","","Welimada","","","111","422","1","3","","","105","1","","","",""
"","","","","","","","","","","","","","","","","to Tree Fallen"
"","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"","බදුල්ල","Haldamulla","","","24","91","","","","","24","","","","",""
"","7","","fLk; kio Heavy","","","","","","","","","","","","",""
"","gJs;is Badulla","","","","","","","","","","","","","","",""
"","","Bandarawela","Rain / දැඩි සුලග","","15","63","","1","","","15","","","","",""
"","","","fLk; fhw;W  High","2018.05.30","","","","","","","","","","","",""
"","","Uwa Paranagama","","","101","412","","","","","97","","","","",""
"","","","Wind / අකුණුගැසීම","","","","","","","","","","","","",""
"","","","kpd;dy;/ Lightning","","","","","","","","","","","","","one person deid due"
"","","Badulla","","","6","20","1","","","","6","","","","",""
"","","","","","","","","","","","","","","","","to Tree Fallen"
"","","","","","","","","","","","","","","","","Two persons deid due"
"","","Soranatota","","","7","24","2","","","","7","","","","",""
"","","","","","","","","","","","","","","","","to Tree Fallen"
"ඌව/Cth","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","288","1105","4","4","0","0","278","1","0","0","0","0"
"khfhzk;/","","","දැඩි වර්ෂාව","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","One person deid due"
"","","Badalkumbura","fLk; kio Heavy","2018.05.19","1","3","1","","","","","","","","",""
"","","","","","","","","","","","","","","","","to Tree Fallen"
"","","","Rain","","","","","","","","","","","","",""
"","","Buttala","","","1","5","","","","","1","","","","",""
"","","Monaragala","දැඩි වර්ෂාව","","3","14","","","","","3","","","","",""
"","මමොනරාගල","","fLk; kio Heavy","","","","","","","","","","","","",""
"","","Siyambalanduwa","","","1","4","","","","","1","","","","",""
"","8
nkhdwhfiy","","Rain / දැඩි සුලග","2018.05.25 / 29","","","","","","","","","","","",""
"","Moneragala","Thanamalvila","","","2","8","","","","","2","","","","",""
"","","","fLk; fhw;W","","","","","","","","","","","","",""
"","","Medagama","High Wind","","1","5","","","","","1","","","","",""
"","","Badal kumbura","","","3","11","","","","","3","","","","",""
"","","","දැඩි සුලග","","","","","","","","","","","","",""
"","","Madulla","","2018.05.30/31","3","9","","","","","3","","","","",""
"","","","fLk; fhw;W  High","","","","","","","","","","","","",""
"","","Katharagama","","2018.05.31","2","7","","","","","2","","","","",""
"","","","Wind","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","17","66","1","0","0","0","16","0","0","0","0","0"
