"","","nfhOk;G","Colombo","Fire","2022.03.25","21","80","","","","21","","","","","","","21","80"
"Nky;","","","","","","","","","","","","","","","","","1","","Community Hall - Muwadoara"
"","","Colombo","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","Fire","2022.04.01","11","45","","","","11","","","","","","","11","45"
"බසරනාහිර පලාත","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","40","153","0","0","0","38","2","","0","","0","2","40","147"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","40","153","0","0","0","38","2","","0","","0","2","40","147"
"","","කෑගල්ල","","","","","","","","","","","","","","","","",""
"","2","Nffhiy","Bulathkohupitiya","Tree Fallen","2022.04.02","2","4","2","2","","","","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2","4","2","2","0","0","0","","0","","0","0","0","0"
"","","","","Fire","2022.04.06","1","3","","","","","1","","","","","","",""
"","","","Elapatha","","","","","","","","","","","","","","","",""
"","","","","Lightning","2022.04.04","1","2","","","","","1","","","","","","",""
"","","","","Fire","","1","3","","","","","1","","","","","","",""
"","","","Kuruwita","","2022.04.02","","","","","","","","","","","","","",""
"","","","","Rock Fallen","","2","9","","","","","2","","","","","","",""
"","","","","","2022.04.03","1","4","","","","","1","","","","","","",""
"සබරගමුව","","","Pelmadulla","High Wind","","","","","","","","","","","","","","",""
"","","","","","2022.04.05","1","4","","","","","1","","","","","","",""
"පලාත","","","","","","","","","","","","","","","","","","",""
"","","","","","2022.04.04","1","4","","","","","1","","","","","","",""
"rg;ufKt","","රත්නපුර","Ebilipitiya","High Wind","","","","","","","","","","","","","","",""
"","","","","","2022.04.07","1","4","","","","","1","","","","","","",""
"Sabaragamuw","3",",uj;jpdGhp","","","","","","","","","","","","","","","","",""
"","","","","High Wind","2022.04.04","2","8","","","","","1","","","","","","",""
"a","","Rathnapura","","","","","","","","","","","","","","","","",""
"","","","Kolonna","","2022.04.05","1","3","","","","","1","","","","","","",""
"","","","","Rock Fallen","","","","","","","","","","","","","","",""
"","","","","","2022.04.06","2","10","","","","","2","","","","","","",""
"","","","Godakawela","Fire","2022.04.05","1","5","","","","","1","","","","","","",""
"","","","Rathnapura","High Wind","2022.04.07","2","4","","","","","2","","","","","","",""
"","","","Opanayaka","Fire","2022.04.05","1","3","","1","","","","","","","","","",""
"","","","Imbulpe","Tree Fallen","2022.04.06","1","4","1","","","","","","","","","","",""
"","","","Kalawana","High Wind","2022.04.06","2","7","","","","","2","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","21","77","1","1","0","0","18","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","23","81","3","3","0","0","18","","0","","0","0","0","0"
"නැගගනහිර","","මඩකලපුව","","","","","","","","","","","","","","","","",""
"පලාත fpof;F","4","kl;lf;fsg;G","Munmunai West","High Wind","2022.04.03","13","46","","","","","13","","","","","","",""
"Eastern","","Batticaloa","","","","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","13","46","0","0","0","0","13","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","13","46","0","0","0","0","13","","0","","0","0","0","0"
"ඌව පලාත","","","Bandarawela","","2022.03.31","1","5","","","","","1","","","","","","",""
"","","","","Tree Fallen","","","","","","","","","","","","","","",""
"Cth","","බදුල්ල","","","","","","","","","","","","","","","","",""
"","","","","","2022.04.04","1","5","","","","","1","","","","","","",""
"khfhzk;","5","gJs;is","Passara","","","","","","","","","","","","","","","",""
"","","","","Land Slide Risk","","7","21","","","","","7","","","","","1","7","21"
"Uva","","Badulla","","","2022.04.05","","","","","","","","","","","","","",""
"","","","Megahakiula","High Wind","","1","3","","","","","1","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","10","34","0","0","0","0","10","","0","","0","1","7","21"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","10","34","0","0","0","0","10","","0","","0","1","7","21"
