"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total
Southern","4","15","0","0","0","0","4","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","4","15","0","0","0","0","4","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","10","37","0","0","0","0","10","0","0","0","0"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","වවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","K.A.D.P.K.Kodippili","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
