"","","","","","","Families","People","","","",""
"","","","Division","","","","","Fully","","",""
"","","","","","","","","","","Medium,",""
"","","","","","","","","","","Enterprises",""
"","","","","","","","","","","Damages",""
"","","","Rathnapura","","","56","230","","11","",""
"","","","Ayagama","","","15","51","","2","",""
"","","","Kiriella","","","22","85","","2","","5"
"","","","Godakawela","","","7","26","","4","",""
"","","","Elapatha","","","76","291","","5","",""
"","","","Kahawatta","","","6","21","","6","",""
"","","රත්නපුර","","Tree Fallen/Cutting","","","","","","",""
"","","","Pelmadulla","","","7","32","","7","",""
"","1","uj;jpdGhp","","Failure Risk/Heavy","2023.09.27-30","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","",""
"","","","Kolonna","","","5","15","","5","",""
"","","Rathnapura","","Rain/Flood","","","","","","",""
"rg;ufKt","","","","","","","","","","",""
"","","","Opanayaka","","","3","11","","","",""
"Sabaragamuwa","","","","","","","","","","",""
"","","","Kuruwita","","","6","24","","6","",""
"","","","Weligepola","","","2","10","","1","",""
"","","","Kalawana","","","3","10","","3","",""
"","","","Eheliyagoda","","","3","12","","3","",""
"","","","Nivithigala","","","3","9","","3","",""
