"Central
දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","8","44","0","0","0","0","4","0","0","1","8","44"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","8","44","0","0","0","0","4","0","0","1","8","44"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","258","816","3","0","0","0","13","0","0","4","16","80"
"","","","ආපදො කළම ොකරණ මධ්‍යස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Janaka Handunpatiraja","","","","","","","","",""
"","","","Assistant Director / Duty Officer (cid:9)(cid:9)(cid:9)(cid:9)","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
