"1806","7867","0","0","0","1","9","1","0","3","374","1661",""
"1806","7867","0","0","0","1","9","1","0","3","374","1661","1923"
"1923","8285","0","2","0","3","53","9","0","3","374","1661",""
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
"","","……………………………………………………….","","","","","","","","","",""
"","","Shan pathirana","","","","","","","","","",""
"","","Assistant Director   / Duty Officer","","","","","","","","","",""
"","","For Director General","","","","","","","","","",""
"","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","","","","",""
