"","Weather Forecast for Main Cities","","","","10-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","40","Mainly fair"
"Batticaloa","31","24","95","70","Mainly fair"
"Colombo","33","25","85","60","Mainly fair"
"Galle","31","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","24","95","50","Mainly fair"
"Kandy","34","20","90","45","Mainly fair"
"Nuwara-Eliya","21","11","90","40","Mainly fair"
"Ratnapura","35","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","23","95","60","Mainly fair"
"Mannar","33","25","90","60","Mainly fair"
