"","","","2023.10.14","28","80","","","","","","","","1","15","60 Mahakanda punagala"
"","","","","","","","","","","","","","","","old factory"
"","","","2023.10.25","71","242","","3","37","","2","","","1","28","89 Punagala old tea factory"
"","","Cutting Faliure /","","","","","","","","","","","","",""
"","Bandarawela","","2023.10.14","3","7","","","3","","","","","1","3","7 Udaperuwa Muslim"
"","","Heavy Rain / Wind","","","","","","","","","","","","","Mosque"
"","","Landslide Risk","2023.10.22","","","","","","","","","","1","17","81 Kalban tamil school"
"","","","","51","195","","","","","","","","","",""
"","Haputhale","Landslide Risk","2023.11.20","","","","","","","","","","1","7","26 Glanor Tamil School"
"","","Cutting Faliure / Wind","2023.12.31/2024.01.01","2","8","","","2","","","","","","",""
"","","Landslide Risk due to","","","","","","","","","","","","",""
"","Ella","","2023.11.23","2","7","","","2","","","","","1","2","7 Karandagolle temple"
"","","Heavy Rain","","","","","","","","","","","","",""
"","බදුල්ල","","","","","","","","","","","","","",""
"","Kandakatiya","Heavy Rain / Wind","2023.12.31/2024.01.01","2","6","","","2","","","","","","",""
"1","gJs;is","","","","","","","","","","","","","",""
"","","Heavy Rain / Wind","2023.12.29 -31","6","22","","","6","","1","","","","",""
"","Badulla
Mahiyanganaya","","","","","","","","","","","","","",""
"","","Heavy Rain","2024.01.01","25","99","","","6","","","","","","",""
"ඌව","Soranatota","Heavy Rain","2023.12.29 -31","2","5","","","1","","","","","","",""
"Cth khfhzk;","Meegahakiula","Heavy Rain / Wind","2024.01.02","10","28","","","10","","","","","","",""
"Uva","","","","","","","","","","","","","","",""
"","Uwaparanagama","Heavy Rain","2024.01.01","8","28","","","8","","","","","","",""
"","","","2023.12.27-","","","","","","","","","","","",""
"","Badulla","Cutting Faliure","","11","29","","","10","","","","","","",""
"","","","2024.01.01","","","","","","","","","","","",""
"","","","2023.12.30","67","194","","","","","","","","1","23","58 1. 3 Tamil collage"
"","Passara","Landslide Risk","","","","","","","","","","","","",""
"","","","2023.12.31","7","34","","","","","","","","1","7","34 2. Tholabowatta jaynthi"
"","","","","","","","","","","","","","","","collage"
"","","","2023.12.30","51","156","","","","","","","","1","51","156 Galulla Tamil collage"
"","Lunugala","Landslide Risk","2023.12.30","25","75","","","","","","","","1","25","75 Uwakele Tamil collage"
"","","","2023.12.31","124","387","","","","","","","","1","101","319 Vigneshwara tamil"
"","","","","","","","","","","","","","","","collage"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","641","2143","0
0","0
3","87","","3","0","","13","337","1078"
"","ම ානරාගල","","","","","","","","","","","","","",""
"","Monaragala","Cutting Faliure","2023.12.29","16","66","","","","","","","","1","16","66 Youth Center"
"","","","","","","","","","","","","","","","Monaragala"
"2","nkhdwhfiy","","","","","","","","","","","","","",""
"","Moneragala
Badalkumbura","Tree Fallen","2024.01.01","2","7","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","18","73","0
0","0
0","1","","0","0","","1","16","66"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","659","2216","0
0","0
3","88","","3","0","","14","353","1144"
"","රත්නපුර              
Embilipitiya","Landslide Risk","2023.12.22","","","","","","","","","","1","6","29 Hingura Community"
"","","","","","","","","","","","","","","","Center"
"3",",uj;jpdGhp","","","","","","","","","","","","","",""
"","Balangoda","Heavy Rain","2024.01.01","1","4","","","1","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","",""
"","Weligepola","Heavy Rain","2024.01.02","1","2","","","1","","","","","","",""
"ස්ත්‍බරගමුව පලාත","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","6","0
0","0
0","2","","0","0","","1","6","29"
"rg;ufKt","","","","","","","","","","","","","","",""
"","Dehiowita
කෑගල්ල","Tree Fallen","2024.01.01","1","3","","","1","","","","","","",""
"Sabaragamuwa
4","","","","","","","","","","","","","","",""
"","Nffhiy  Kegalle
Warakapola","High Wind","2024.01.01","1","4","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","7","0
0","0
0","2","","0","0","","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","4","13","0
0","0
0","4","","0","0","","1","6","29"
"","Verugal","","2023.12.31","286","807","","","","","","","","2","234","688"
"","","Flood","","","","","","","","","","","","",""
"","ත්‍රීකුණා ලය","","2023.12.30","139","297","","","","","","","","","",""
"","Kinniya","","","","","","","","","","","","","",""
"5","jp.kiy","High Wind","2024.01.01","1","7","","","1","","","","","","",""
"","Trincomalee
Seruwila","Flood","2024.01.01","19","65","","","","","","","","1","19","65"
"","Muthur","Flood","2024.01.01","53","163","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","498","1339","0
0","0
0","1","","0","0","","3","253","753"
