"2019.06.08","1","6","","","","","1","","","","","",""
"","47","179","0","0","0","1","45","1","0","0","0","","0"
"","387","1709","0","0","0","1","45","1","0","0","0","","0"
"","123296","448546","4","1","3","46","294","14","0","5","75","","277"
"","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
"","","","මාධය ප්‍රකා඾ක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","","ෆ෉ක්ස෇/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","","විදුත් ත෉ප෉ල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","","නලබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",".",""
