"","1",",uj;jpdGhp","","","","","","","","","","","","",""
"","","Rathnapura","","Lightning","2019.07.18","1","4","","","","1","","","",""
"","","","Pelmadulla","","","","","","","","","","","",""
"","","","","Tree Fallen","2019.07.18","6","22","","","1","5","","","",""
"","","","","High Wind","2019.07.18","5","18","","","2","3","","","",""
"","","","Kiriella","High Wind","2019.07.18","18","83","","","","17","","","",""
"","","","Kalawana","Tree Fallen","2019.07.18","8","35","","","","7","","","",""
"සබරගමුල ප඼෈ත","","","","","2019.07.18","","","","","","","","","",""
"","","","","Cutting Faliure","","9","37","","","","4","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Galabada Church,"
"","","","","","","","","","","","","","","","Durekanda Temple,"
"","","","","Landslide Risk","2019.07.18","92","316","","","","8","","","3
9","52"
"","","","Ratnapura","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Amunuthenna"
"","","","","","","","","","","","","","","","Temple"
"","","","","High Wind","2019.07.18","16","63","","","1","14","","","",""
"","","","","Flood","2019.07.18","182","691","","","","8","","","",""
"","","","Godakawela","","","7","26","","","","6","","","",""
"","","","Kuruvita","","","10","42","","","","10","","","",""
"","","","","High Wind","2019.07.18","","","","","","","","","",""
"","","","Opanayaka","","","5","20","","4","","3","","","",""
