"","Weather Forecast for Main Cities","","","Date :","2-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","65","Mainly fair"
"Batticaloa","35","27","85","60","Mainly fair"
"Colombo","31","27","90","70","Several spells of showers"
"Galle","30","25","95","80","Showers at times"
"Jaffna","33","27","85","65","Mainly fair"
"Kandy","30","24","90","70","Several spells of showers"
"Nuwara-Eliya","20","15","95","85","Several spells of light showers"
"Ratnapura","32","26","95","80","Showers at times"
"Trincomalee","36","26","85","55","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
