"","Nuwara Eliya","Kothmale","Cutting Faliure","2022.05.11","2","6","","","","","2","","","","","","",""
"ධ්‍ය  පලොත","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","7","26","0","0","0","0","6","","0","0","0","0","0",""
"kj;jpa","","Rattota","","2022.04.29","1","3","","","","","1","","","","","","",""
"khfhzk;","ොතමල් khj;jis","Ukuwela","","2022.05.11","2","7","","","","","2","","","","","","",""
"","2","","High Wind","","","","","","","","","","","","","","",""
"","Matale","Galewela","","2022.05.10","1","4","","","","","1","","","","","","",""
"Central","","","","","","","","","","","","","","","","","",""
"","","Laggala pallehama","","2022.05.11","11","37","","","","","9","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","15","51","0","0","0","0","13","","0","0","0","0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","22","77","0","0","0","0","19","","0","0","0","0","0",""
"","කිලිමනොච්චිය","Karachchi","","2022.05.10","3","14","","","","","2","","1","","","","",""
"උතුරු පලොත tl","3","","High wind","","","","","","","","","","","","","","",""
"","fpspnehr;rp","Kandawalai","","2022.05.12","1","5","","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","4","19","0","0","0","0","3","","1","0","0","0","0",""
"Northen ;","","","","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","4","19","0","0","0","0","3","","1","0","0","0","0",""
"","ම ොනරොගල","","","","","","","","","","","","","","","","",""
"","","","High wind / Heavy","","","","","","","","","","","","","","",""
"ඌෙ Cth","4
nkhdwhfiy","Monaragala","","2022.05.10","38","177","","","","","38","","","","","","",""
"","","","Rain","","","","","","","","","","","","","","",""
"khfhzk;","Moneragala","","","","","","","","","","","","","","","","",""
"Uva","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","38","177","0","0","0","0","38","","0","0","0","0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","38","177","0","0","0","0","38","","0","0","0","0","0",""
"","","","","2022.05.09","1","5","","","","","1","","","","","","",""
"","","Kolonna","High wind","","","","","","","","","","","","","","",""
"","","","","2022.05.11","2","4","","","","","2","","","","","","",""
"","","","High wind","2022.05.09","2","7","","","","","2","","","","","","",""
"","","","Cutting Faliure","2022.05.09","1","4","","","","","1","","","","","","",""
"","","Elapatha","","","","","","","","","","","","","","","",""
"","","","","2022.05.10","4","15","","","","","4","","","","","","",""
"","","","High wind","","","","","","","","","","","","","","",""
"","","","","2022.05.12","1","5","","","","","1","","","","","","",""
"","","","","2022.05.10","2","9","","","","","2","","","","","","",""
"","","","High wind","","","","","","","","","","","","","","",""
"","රත්නපුර","Pelmadulla","","2022.05.12","2","9","","","","","2","","","","","","",""
"සබරගමුෙ පලොත","5
,uj;jpdGhp","","High wind","2022.05.11","1","1","","","","","1","","","","","","",""
"rg;ufKt","Rathnapura","Ayagama","High wind","2022.05.10","1","3","","","","","1","","","","","","",""
"Sabaragamuwa","","","High wind","2022.05.10","1","4","","","","","1","","","","","","",""
"","","Niwithigala","","","","","","","","","","","","","","","",""
"","","","High wind","2022.05.11","1","4","","","","","1","","","","","","",""
"","","Balangoda","Tree Fallen","2022.05.10","1","4","","","","","1","","","","","","",""
"","","Kahawatta","High wind","2022.05.11","1","2","","","","","1","","","","","","",""
"","","Kuruwita","High wind","2022.05.11","7","21","1","","","","6","","","","","","",""
"","","Godakawela","Cutting Faliure","2022.05.11","1","5","","","","","1","","","","","","",""
"","","Kalawana","Tree Fallen","2022.05.11","4","15","","","","","4","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","33","117","1","0","0","0","32","","0","0","0","0","0",""
