"","Weather Forecast for Main Cities","","","Date :","23-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","90","45","Mainly fair"
"Batticaloa","31","24","90","70","Mainly fair"
"Colombo","32","25","85","55","Mainly fair"
"Galle","31","24","85","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","32","22","95","60","Mainly fair"
"Kandy","33","18","95","45","Mainly fair"
"Nuwara-Eliya","22","9","85","35","Mainly fair"
"Ratnapura","37","23","90","40","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","32","23","85","60","Mainly fair"
"Mannar","31","24","95","70","Mainly fair"
