"බසරනාහිර පලාත","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","40
153","0","0","0","38
2","0","0","2
40","147",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","40
153","0","0","0","38
2","0","0","2
40","147",""
"","Bulathkohupitiya","Tree Fallen","2022.04.02","2
4","2","2","","","","","","",""
"","Warakapola","High Wind","","1
3","","","","1","","","","",""
"","කෑගල්ල","","","","","","","","","","","",""
"","Galigamuwa","Tree Fallen","","3
10","","","","3","","","","",""
"2","Nffhiy","","2022.04.05","","","","","","","","","",""
"","","Cutting Faliure","","1
6","","","","1","","","","",""
"","Kegalle
Yatiyantota","","","","","","","","","","","",""
"","","Lightning","","3
13","","","","3","","","","",""
"","Dehiowita","Tree Fallen","2022.04.07","1
4","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","11
40","2","2","0","0
9","0","0","0
0","0",""
"","","Fire","2022.04.06","1
3","","","","1","","","","",""
"","","Lightning","2022.04.04","1
2","","","","1","","","","",""
"","Elapatha","","","","","","","","","","","",""
"","","High Wind","2022.04.07","1
2","","","","1","","","","",""
"","","Lightning","2022.04.08","1
3","","","","1","","","","",""
"","","Fire","","1
3","","","","1","","","","",""
"","Kuruwita","","2022.04.02","","","","","","","","","",""
"","","Rock Fallen","","2
9","","","","2","","","","",""
"","","","2022.04.03","1
4","","","","1","","","","",""
"","Pelmadulla","High Wind","","","","","","","","","","",""
"","","","2022.04.05","1
4","","","","1","","","","",""
"සබරගමුව","","","","","","","","","","","","",""
"","","","2022.04.04","1
4","","","","1","","","","",""
"පලාත","Ebilipitiya","High Wind","","","","","","","","","","",""
"","","","2022.04.07","1
4","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"","","High Wind","2022.04.04","2
8","","","","1","","","","",""
"Sabaragamuw","","","","","","","","","","","","",""
"","Kolonna
රත්නපුර","","2022.04.05","1
3","","","","1","","","","",""
"a","","Rock Fallen","","","","","","","","","","",""
"3",",uj;jpdGhp","","2022.04.06","2
10","","","","2","","","","",""
"","Rathnapura","Fire","2022.04.05","1
5","","","","1","","","","",""
"","Godakawela","","","","","","","","","","","",""
"","","High Wind","2022.04.08","1
5","","","","1","","","","",""
"","Rathnapura","High Wind","2022.04.07","2
4","","","","2","","","","",""
"","","Fire","2022.04.05","1
3","","1","","","","","","",""
"","Opanayaka","","","","","","","","","","","",""
"","","High Wind","2022.04.08","1
5","","","","1","","","","",""
"","","Tree Fallen","2022.04.06","1
4","1","","","","","","","",""
"","Imbulpe","","","","","","","","","","","",""
"","","High Wind","2022.04.08","1
4","","","","1","","","","",""
"","","High Wind","2022.04.06","2
7","","","","2","","","","",""
"","Kalawana","","","","","","","","","","","",""
"","","Heavy Rain","2022.04.07","1
2","","","","1","","","","",""
"","Ayagama","High Wind","2022.04.07","2
6","","","","2","","","","",""
"","Kahawaththa","High Wind","2022.04.09","1
4","","","","1","","","","",""
"","Balangoda","High Wind","2022.04.09","2
8","","","","2","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","32
116","1","1","0","0
29","0","0","0
0","0",""
