"1
,uj;jpdGhp","","wind/ Flood/ Cutting","","","","","","","","","","","","","","","",""
"","Kiriella","","2024.06.01-02","2148","8007","","","","","2","20","","59","","","","",""
"Rathnapura","","faliture/Landslide Risk","","","","","","","","","","","","","","","",""
"","Kolonna","","2024.06.01-02","4","12","","","","","","4","","1","","","","",""
"","Balangoda","","2024.06.01-02","6","23","","","","","","4","","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","","","","","","","","",""
"rg;ufKt","Opanayake","","2024.06.01-02","2","7","","","","","","2","","","","","","",""
"Sabaragamuwa","Weligepola","","2024.06.01-02","2","10","","","","","","2","","","","","","",""
"","Imbulpe","","2024.06.02","5","17","","","","","","2","","","","","","",""
"","Kahawatta","","2024.06.02","9","28","","","","","","8","","1","","","","",""
"","Ebilipiya","","2024.06.06","2","4","","","","","","2","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15416","58706","","5","4","0","21","2714","","621","18","","7","53","155"
"","Dehiovita","High Wind","2024.06.05","1","1","","","","","","1","","","","","","",""
"කෑගල්ල","Ruwanwella","Fire","2024.06.05","1","5","","","","","1","","","","","","","",""
"2
Nffhiy","Warakapola","Tree Fallen","2024.06.06","1","4","","","","","","1","","","","","","",""
"Kegalle","","","","","","","","","","","","","","","","","",""
"","Galigamuwa","Tree Fallen","2024.06.07","1","3","","","","","","1","","","","","","",""
"","Rambukkana","Cutting Failure","2024.06.04","","","","1","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4","13","","1","0","0","1","3","","0","0","","0","0","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","15420","58719","","6","4","0","22","2717","","621","18","","7","53","155"
"කිලින ොච්චිය","","","","","","","","","","","","","","","","","","Drinking water is being"
"3
fpspnehr;rp","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","","","","distributed for drought"
"උතුරු පලොත","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","areas"
"Killinochchi","","","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","432","946","","0","0","0","0","0","","0","0","","0","0","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","432","946","","0","0","0","0","0","","0","0","","0","0","0"
"","Walallavita","Flood","2024.06.01/02","184","637","","","1","","10","54","","","","","","",""
"","Mathugama","Flash Flood","2024.06.01/02","515","1789","","","","","","12","","","","","","",""
"","Palindanuwara","Flood","2024.06.01/02","721","2593","","","","","1","16","","","","","","",""
"","Bulathsinghla","Flood","2024.06.01/02","3517","12568","","1","","","","10","","","","","","",""
"","Dodangoda","Flood","2024.06.01/02","736","2752","","","","","","736","","","","","","",""
"කළුතර","","","","","","","","","","","","","","","","","",""
"","Horana","Flash Flood","2024.06.01/02","33","124","","","","","","6","","","","","","",""
"4
fSj;Jiw","","","","","","","","","","","","","","","","","",""
"","Madurawela","Flood","2024.06.01/02","501","1900","","","","","","7","","","","","","",""
"Kalutara","","","","","","","","","","","","","","","","","",""
"","Millaniya","Flood","2024.06.01/02","1236","4759","","2","","","3","1","","","","","","",""
"","Ingiriya","Flood","2024.06.01/02","750","2814","","","1","","1","20","","","","","","",""
"","Agalawattha","Flood","2024.06.01/02","96","442","","","","","1","4","","","","","","",""
"","Kalutara","Flood","2024.06.01/02","411","1502","","","","","2","8","","","","","","",""
"","Beruwala","High Wind","2024.06.06","2","7","","","","","","2","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8702","31887","","3","2","0","18","876","","0","0","","0","0","0"
"Western","","","","","","","","","","","","","","","","","",""
