"This report was produced with the technical support of World Food Programme (WFP)","","",""
"Emergency contact information","","",""
"Responsible Agency/Unit","Officer","Contact","Email"
"Response Operation Coordination-","Director- Emergency","0773957903","direoc@dmc.gov.lk"
"DMC","","",""
"","Operations","",""
"National Disaster Relief Services","General","0112665342","sahana.ndrsc@gmail.com"
"Emergency Operation Centre","Duty Officer","0773957900","eocdmc@dmc.gov.lk"
"DMC","","0112670002",""
"","","0702117117",""
"Military Resources Mobilization","Military Coordinator","0772095328","miltorycoordinator@dmc.gov.lk"
"Coordination","","",""
"Emergency Call Centre","Duty Officer","117","eocdmc@dmc.gov.lk"
