"","","Ayagama","","2024.06.01-02","3394
13128","2","","","4","151","43","","11
82","318",""
"","","Pelmadulla","","2024.06.01-02","107
428","1","","","","98","5","","","",""
"","1","Ehaliyagoda","","2024.06.01-02","2142
8219","1","3","","2","690","82","","5
49","153",""
"","","Rathnapura","","2024.06.01-02","3109
11586","","1","","","138","8","","2
3","15",""
"","","Kuruvita","","2024.06.01-02","1144
4409","","","","4","180","30","","","",""
"","","රත්නපුර","Heavy Rain/ High","","","","","","","","","","","",""
"","",",uj;jpdGhp  
Kalawana","wind/ Flood/ Cutting","2024.06.01-02","390
1367","","","","","374","30","1","","",""
"","","Rathnapura","faliture/Landslide Risk","","","","","","","","","","","",""
"","","Kiriella","","2024.06.01-02","2145
7999","","","","1","18","59","","","",""
"","","Kolonna","","2024.06.01-02","2
5","","","","","2","1","","","",""
"","","Balangoda","","2024.06.01-02","6
23","","","","","4","","","","",""
"","","Opanayake","","2024.06.01-02","2
7","","","","","2","","","","",""
"","","Weligepola","","2024.06.01-02","2
10","","","","","2","","","","",""
"","","Imbulpe","","2024.06.02","2
6","","","","","","","","","",""
"","","Kahawatta","","2024.06.02","8
26","","","","","7","1","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","13899
52490","5","4","0","12","1777","274","1","20
147","540",""
"","","","Cutting Failure","2024.06.02","2
7","","","","","2","","","","",""
"","","","Cutting Failure","2024.06.03","1
3","","","","","1","","","","",""
"","","Warakapola","","","","","","","","","","","","",""
"","","","Heavy Rain / Cutting","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Injured due to Cutting"
"","","","Failure / Tree Fallen /","2024.06.02","23
81","","4","","","22","10","","","",""
"","","","","","","","","","","","","","","","Failure"
"","","","High wind","","","","","","","","","","","",""
"","","Mawanella","Cutting failure","2024.06.03","1
8","","","","","1","","","","",""
"","","","Cutting failure","2024.06.02","1
2","","","","","1","","","","",""
"","","","Tree Fallen","2024.06.01","2
8","","","","","2","","","","",""
"","","Yatiyantota","","2024.06.02","1
4","","","","","1","","","","",""
"","","","Cutting Failure","","","","","","","","","","","",""
"","","","","2024.06.03","1
5","","","","","1","","","","",""
"","","","Tree fallen","2024.06.02","1
3","","","","","1","","","","",""
"","","Galigamuwa","","","","","","","","","","","","",""
"සබරගමුව පලාත","","","Cutting Failure","2024.06.04","1
3","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"","","","Heavy Rain / Cutting","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","","Failure / Tree Fallen /","2024.06.01/02","14
49","","3","","","9","","","1
1","","6 Injured due to tree fallen"
"","","","High wind","","","","","","","","","","","",""
"","","Yatiyanthota","Tree Fallen","","1
4","","","","","1","","","","",""
"","","","Cutting Failure","2024.06.01","4
17","","","","","4","","","","",""
"","","","Lightning","","1
4","","","","","1","","","","",""
"","","","Tree Fallen","","1
5","","","","","1","","","","",""
"","","","","2024.06.04","","","","","","","","","","",""
"","","කෑගල්ල","Cutting Failure","","1
5","","","","","1","","","","",""
"","2","Nffhiy","","2024.06.01","1
3","","","","","1","","","","",""
"","","Kegalle","Tree Fallen","","","","","","","","","","","",""
"","","Kegalle","","2024.06.03","2
5","","","","","2","","","","",""
"","","","Heavy Rain / Cutting","","","","","","","","","","","",""
"","","","Failure / Tree Fallen /","2024.06.02","495
2346","","","","","495","128","","3
67","282",""
"","","","High wind/ Lightning","","","","","","","","","","","",""
"","","Dehiovita","","","","","","","","","","","","",""
"","","","Tree Fallen","","1
4","","","","","1","","","","",""
"","","","High Wind","2024.06.04","1
1","","","","","1","","","","",""
"","","","Lightning","","1
4","","","","","1","","","","",""
