"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","50","0","0","0","0","8","0","0","1","3"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","50","0","0","0","0","8","0","0","1","3"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","487","2","0","0","0","24","0","0","8","403"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","",""
"","","","වවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","",""
"","","","……………………………………………………….","","","","","","",""
"","","","K.G. Mahendra Jagath","","","","","","",""
"","","","Assistant Director / Duty Officer","","","","","","",""
"","","","For Director General","","","","","","",""
