"","","","","","Page 3","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"මකාළඹ/nfhOk;G/","","","","","","","","","","","","","","","",""
"12
Kolonnawa","Tree Fallen","2020.11.08","5","21","","","","","","5","","","","","",""
"Colombo","","","","","","","","","","","","","","","",""
"Western/ Nky;","","","","","","","","","","","","","","","",""
"khfhzk;බස්ත්‍රනාහිර","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","21","","0","0","0","0","5","0","0","0","0","0",""
"පලාත","","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5","21","","0","0","0","0","5","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","213","824","","4","0","2","4","149","5","1","2","13","56",""
"","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
"","","","","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","","","","","","",""
"","","","","","","ආපදා කළ නාකරණ  ධ්‍යස්ත්‍රථානය  /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
"","","","","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","","","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","","","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
"","","","","","","……………………………………………………….","","","","","","","","","",""
"","","","","","","Thushitha Waidyarathne","","","","","","","","","",""
"","","","","","","Assistant  Director / Duty Officer","","","","","","","","","",""
"","","","","","","For Director General","","","","","","","","","",""
"","","","","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","","","","","",""
