"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","103","423","0","0","0","0","10","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","103","423","0","0","0","0","10","0"
"","2623","8021","1","1","0","4","339","0"
"","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","",""
"","","","ආපදා කළම ාකරණ මධ්‍යස්ත්‍රථා ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","",""
"","","","ලවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","",""
"","","","……………………………………………………….","","","","",""
"","","","T W K I Pushpakumara","","","","",""
"","","","Assistant Director / Duty Officer","","","","",""
"","","","For Director General","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","",""
