"Northen","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","5","0","0","0","0","1","","0","0","","0","0","0"
"Kothmale
Cutting failure","2022.08.01","32","133","","","","","21","","","","","","",""
"Ambagamuwa
Cutting failure / Flood","2022.08.01","82","349","3","","3","1","11","","","","","2","49","216 01.Aulton Kovila"
"නුවරඑලිය","","","","","","","","","","","","","","","02. Gawaravila Tamil School"
"2
Etnuypah","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","01.Rathnagiriya Dispensary"
"Nuwara Eliya
Nuwaraeliya
Flood / Landslide Risk","2022.08.01","214","732","","","","","7","","","","","2","9","02. Dimbula watta 
38"
"","","","","","","","","","","","","","","","Diuspensary"
"Hanguranketha
High Wind","2022.08.01","2","10","","","","","2","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","330","1224","3","0","3","1","41","","0","0","","4","58","254"
"Heavy Rain & High","","","","","","","","","","","","","","",""
"Pathadumbara","","1","4","","","","","1","","","","","","",""
"wind","","","","","","","","","","","","","","",""
"Yatinuwara
Tree Fallen","","1","5","","","","","1","","","","","","",""
"Hatharaliyadda","","1","6","","","","","1","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"Harispattuwa","","2","10","","","","","2","","","","","","",""
"kj;jpa 
Heavy Rain & High","","","","","","","","","","","","","","",""
"Thumpane","","3","12","","","","","3","","","","","","",""
"khfhzk;  
wind
Pathahewaheta","","2","5","","","","","2","","","","","","",""
"3
නුවර/fz;b/Kandy
Central
Gangawatakorale","2022.08.01","1","6","","","","","1","","","","","","",""
"Deltota","","2","10","","","","","2","","","","","","",""
"Heavy Rain & High 
Medadumbara","","2","7","","","","","2","","","","","","",""
"wind
Udapalatha","","96","346","","","","","4","","","","","","",""
"","","","","","","","","","","","","","","","01. Hidry Temple"
"","","","","","","","","","","","","","","","02. Nawalapitiya M.M."
"Pasbagekorale
Flood","","726","3398","","","1","","","","","","","3","323","1595
Viduhala"
"","","","","","","","","","","","","","","","03. Karahandungala Church"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","837","3809","0","0","1","0","19","","0","0","","3","323","1595"
"මාතලේ/khj;jis/","","","","","","","","","","","","","","",""
"4
Rattota
Heavy Rain","2022.08.01","5","20","","","","","5","","","","","","",""
"Matale","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","5","20","0","0","0","0","5","","0","0","","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1172","5053","3","0","4","1","65","","0","0","","7","381","1849"
"Madampagama
Tree Fallen
ගාේල","","1","2","","","","","1","","","","","","",""
"5","2022.08.01","","","","","","","","","","","","","",""
"fhyp       Galle
Kadawathsathra
Rock fallen","","1","6","","","","","1","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","8","0","0","0","0","2","","0","0","","0","0","0"
"Okewela
Fire","2022.08.02","1","4","","","","","","","1","","","","",""
"Landslide
හම්බනලතාට/`k;gh","","2","6","","","","","2","","","","","","",""
"6
e
Njhl;il 
Flood","","1","3","","","","","1","","","","","","",""
"Walasmulle
දකුනු පලාත","2022.08.01","","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","","",""
"Heavy Rain & High","","","","","","","","","","","","","","",""
"njd; khfhzk;","","2","10","","","","","2","","","","","","",""
"wind","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","6","23","0","0","0","0","5","","1","0","","0","0","0"
