"","Weather Forecast for Main Cities","","","","30-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","55","Mainly fair"
"Batticaloa","31","26","90","70","A few showers"
"Colombo","33","24","85","50","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","24","90","60","Mainly fair"
"Kandy","34","22","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","24","12","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","23","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","26","90","70","A few showers"
"Mannar","34","25","90","70","Mainly fair"
