"","","Delthota","High Wind","","1","6","","","","","1","","","","","",""
"","","","","2020.08.18","","","","","","","","","","","","",""
"","","Ududumbara","","","1","1","","","","","1","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","29","0","","0","0","1
7","","0","0","0","0","0"
"","","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","45","155","0","","0","0","25
8","","0","0","1","35","125"
"","","Welimada
බදුල්ල","Fire","2020.08.17","12","54","","","","","12","","","","1","12","54"
"","3","gJs;is","","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","",""
"","","Megahakiula
Badulla","","2020.08.11","1","4","","","","","1","","","","","",""
"Cth khfhzk;","","","High Wind","","","","","","","","","","","","","",""
"","","Uwaparanagama","","2020.08.18","1","4","","","","","1","","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","62","0","","0","0","12
2","","0","0","1","12","54"
"","","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","14","62","0","","0","0","12
2","","0","0","1","12","54"
"","","මඩකලපුව","","","","","","","","","","","","","","",""
"නැපගනහිර  ලොත","4","Koralaipattu North
kl;lf;fsg;G","High Wind","2020.08.17","1","5","","","","","1","","","","","",""
"fpof;F","","Batticaloa","","","","","","","","","","","","","","",""
"Eastern","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","5","0","","0","0","0
1","","0","0","0","0","0"
"","","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","5","0","","0","0","0
1","","0","0","0","0","0"
"","","ප ොපලොන්නරුව","","","","","","","","","","","","","","",""
"උතුරුමැද  ලොත","5","Welikanda
nghyd;dWit","High Wind","2020.08.12","1","4","","","","","1","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","","","",""
"","","Polonnaruwa","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","4","0","","0","0","0
1","","0","0","0","0","0"
"North Central","","","","","","","","","","","","","","","","",""
"","","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","4","0","","0","0","0
1","","0","0","0","0","0"
"","","කෑගල්ල","","","","","","","","","","","","","","",""
"සබරගමුව  ලොත","6","Galigamuwa
Nffhiy","Tree Fallen","2020.08.11/15","2","7","","","","","2","","","","","",""
"rg;ufKt","","Kegalle","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","7","0","","0","0","0
2","","0","0","0","0","0"
