"","Weather Forecast for Main Cities","","","","7-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","38","27","90","40","Mainly fair"
"Batticaloa","33","26","90","70","Mainly fair"
"Colombo","33","28","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","27","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","27","95","60","Mainly fair"
"Kandy","34","23","90","55","Mainly fair"
"Nuwara-Eliya","25","12","90","55","Mainly fair"
"Ratnapura","36","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","26","90","60","Mainly fair"
"Mannar","33","27","90","65","Mainly fair"
