"","","","","","commenced","","","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","","egHfs;",""
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","","","FLk;gq;f","",""
"","","மாவட்டம் District","","","","","","","People","People","KOik","","சேதங்கள்; Small,","","","","","","",""
"","","","","","","Families","People","","","","","Partially","","","Damages to","","f   No.","s;","Persons",""
"","","","Division","","","","","","","","Fully","","","","","","","","",""
"","","","","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","","","Damages","","","","","","",""
"","","","Elapatha","","","","","","","","","","","","","","2","4","22",""
"","","රත් පුර","","Heavy Rain/ High","","","","","","","","","","","","","","","",""
"","","","Ayagama","","","","","","","","","","","","","","","","",""
"","1",",uj;jpdGhp","","wind/ Flood/ Cutting","2024.06.01- 02","","","","","","","","","","","","","","",""
"","","","Ehaliyagoda","","","","","","","","","","","","","","2","29","81",""
"","","Rathnapura","","faliture/Landslide Risk","","","","","","","","","","","","","","","",""
"","","","Rathnapura","","","","","","","","","","","","","","1","1","4",""
"සබරගමුෙ පලොත","","","","","","","","","","","","","","","","","","","",""
"","","","Weligepola","Tree Fallen","2024.06.17","1","5","","","","","1","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","1","5","0","0","0","0","1","","0","","0","5","34","107",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","","","","","","",""
"","","","","Tree Fallen","","1","1","","","","","1","","","","","","","",""
"","2","Nffhiy","Dehiovita","","2024.06.16","","","","","","","","","","","","","","",""
"","","Kegalle","","Collapse of wall","","1","2","","","","","1","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","2","3","0","0","0","0","2","","0","","0","0","0","0",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","3","8","0","0","0","0","3","","0","","0","5","34","107",""
"","","කිලින ොච්චිය","","","","","","","","","","","","","","","","","","Drinking water is being"
"","3","fpspnehr;rp","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","","","","distributed for drought"
"උතුරු පලොත","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","areas"
"","","Killinochchi","","","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","432","946","0","0","0","0","0","","0","","0","0","0","0",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","432","946","0","0","0","0","0","","0","","0","0","0","0",""
"","","හම්බනනතොට","Thangalla","Heavy Rain","2024.06.13","1","3","","","","1","","","","","","","","",""
"","4","`k;ghe;Njhl;il","Hambanthota","Elephant attack","2024.06.18","1","2","1","1","","","","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","","","","","",""
"","","Hambantota","Katuwana","High Wind","2024.06.16","1","4","","","","","1","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","","","","",""
"Southern","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","3","9","1","1","0","1","1","","0","","0","0","0","0",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","3","9","1","1","0","1","1","","0","","0","0","0","0",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","438","963","1","1","0","1","4","","0","","0","5","34","107",""
