"","Kalwana","Wall Collapse","2023.07.03","1","4","","","","","1","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","","","",""
"","Rathnapura","Cutting Failure","2023.07.03","5","24","","","","","3","","","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","Pelmadulla","High Wind","2023.07.03","2","11","","","","","2","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","","",""
"rg;ufKt","Kahawatta","High Wind","2023.07.04","2","5","","","","","2","","","","","","",""
"Sabaragamuwa","Balangoda","High Wind","2023.07.04","1","3","","","","","1","","","","","","",""
"","Kiriella","High Wind","2023.07.04","1","4","","","","","1","","","","","","",""
"","Godakawela","High Wind","2023.07.04","3","13","","","","","3","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","18","76","0","0","0","0","16","","0","0","0","0","0",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","18","76","0","0","0","0","16","","0","0","0","0","0",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","",""
"2
jp.kiy","Kuchchaveli","High Wind","2023.07.01","1","4","","","","","1","","","","","","",""
"නැවගනහිර පලාත","","","","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","1","4","0","0","0","0","1","","0","0","0","0","0",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1","4","0","0","0","0","1","","0","0","0","0","0",""
"","Harispaththuwa","High Wind","2023.07.04","3","12","","","","","3","","","","","","",""
"","Delthota","High Wind","2023.07.04","3","15","","","","","3","","","","","","",""
"","Pathahewaheta
නුෙර","High Wind","2023.07.04","3","13","","","","","3","","","","","","",""
"3","fz;b             
Panvila","High Wind","2023.07.04","2","12","","","","","1","","","","","","",""
"Kandy","Doluwa","High Wind","2023.07.04","1","4","","","","","1","","","","","","",""
"","Udunuwara","High Wind","2023.07.04","3","11","","","","","3","","","","","","",""
"මධ්‍යම පලාත","Yatinuwara","High Wind","2023.07.04","2","9","","","","","2","","","","","","",""
"kj;jpa khfhzk;","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","17","76","0","0","0","0","16","","0","0","0","0","0",""
"Central","","","","","","","","","","","","","","","","",""
"","Hanguranketha","Heavy Rain","2023.07.04","1","5","","","","","1","","","","","","",""
"නුෙරඑලිය","","","","","","","","","","","","","","","","",""
"4","Etnuypah","High Wind","2023.07.04","6","23","","","","","6","","","","","","",""
"","Kothmale","","","","","","","","","","","","","","","",""
"","Nuwara Eliya","","","","","","","","","","","","","","","",""
"","","Cutting Failure","2023.07.04","1","4","","","","","1","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","8","32","0","0","0","0","8","","0","0","0","0","0",""
