"","Weather Forecast for Main Cities","","","","20-Jul-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","85","55","Mainly fair"
"Batticaloa","34","26","80","50","Mainly fair"
"Colombo","31","27","85","75","Showers at times"
"Galle","28","26","90","80","Showers at times"
"Jaffna","33","24","85","70","Mainly fair"
"Kandy","29","22","85","65","Showers at times"
"Nuwara-Eliya","19","14","90","85","Showers at times"
"Ratnapura","32","24","95","70","Showers at times"
"Trincomalee","36","26","80","45","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
