"","","","Haldumulla","","","153","542","","2","","","153","","","","4","","",""
"","","බදුල්ල     gJs;is","","","","","","","","","","","","","","","","",""
"","1","","","High Wind","2022.12.08","","","","","","","","","","","","","",""
"","","Badulla","","","","","","","","","","","","","","","","",""
"","","","Bandarawela","","","3","12","","","","","3","","","","","","",""
"","","","Haputhale","","","54","136","","","","","54","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","","","",""
"","","","Ridimaliyadda","","","1","4","","","","","1","","","","","","",""
"Cth","","","","","","","","","","","","","","","","","","",""
"khfhzk;","","","Soranathota","","","4","13","","1","","","4","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","","",""
"","","","Passara","","","257","655","","","","","257","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","723","2093","0","3","0","0","723","","0","","6","0","0","0"
"","","","Badalkubura","","","97","395","","","","","96","","1","","","","",""
"","","මමානරාගල","Wellawaya","","","9","22","","","","","9","","","","","","",""
"","2","nkhdwhfiy","","High Wind","2022.12.07-08","","","","","","","","","","","","","",""
"","","","Madulla","","","1","3","","","","","1","","","","","","",""
"","","Moneragala","","","","","","","","","","","","","","","","",""
"","","","Bibila","","","42","107","","","","","42","","","","","","",""
"","","","Medagama","","","44","184","","","","","44","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","193","711","0","0","0","0","192","","1","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","916","2804","0","3","0","0","915","","1","","6","0","0","0"
"","","නුවරඑලිය","Walapane","","2022.12.08","23","106","1","3","","","23","","","","","1","9","58"
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","","",""
"","","Etnuypah","","","","","","","","","","","","","","","","",""
"kj;jpa","","Nuwara Eliya","Hanguranketha","","2022.12.08","1","2","","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","24","108","1","3","0","0","24","","0","","0","1","9","58"
"Central","","","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","24","108","1","3","0","0","24","","0","","0","1","9","58"
"","","","Navithanveli","","","5","20","","","","","5","","","","","","",""
"","","","Damana","","","5","19","","","","","5","","","","","","",""
"","","","Ampara","","","21","80","","","","","20","","1","","","","",""
"","","","Padiyathalawa","","","1","2","","","","","1","","","","","","",""
"","","අම්පාර","","","","","","","","","","","","","","","","",""
"","4","","","High Wind","2022.12.07-08","","","","","","","","","","","","","",""
"","","mk;ghiw Ampara","Thirukkovil","","","1","5","","","","","1","","","","","","",""
"","","","Sammanthurai","","","6","22","","","","","6","","","","","","",""
"","","","Karaitivu","","","3","12","","","","","3","","","","","","",""
"නැමගනහිර පලාත","","","","","","","","","","","","","","","","","","",""
"","","","Uhana","","","83","286","","","","","83","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","","",""
"Eastern","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","125","446","0","0","0","0","124","","1","","0","0","0","0"
"","","","Porativu Pattu","","","3","16","","","","","3","","","","","","",""
"","","","Eravur Pattu","","","2","8","","","","","2","","","","","","",""
"","","මඩකලපුව","","","","","","","","","","","","","","","","",""
"","5","kl;lf;fsg;G","Manmunai North","High Wind","2022.12.08","3","12","","","","","3","","","","","","",""
"","","Batticaloa","","","","","","","","","","","","","","","","",""
"","","","Manmunia South","","","4","8","","","","","4","","","","","","",""
"","","","Manmunai South West","","","1","4","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","13","48","0","0","0","0","13","","0","","0","0","0","0"
