"","","","2024.07.15","","","","","","","","","","","","","","",""
"","","High Wind","","1","3","","","","","1","","","","","","","",""
"","Balangoda","","","","","","","","","","","","","","","","",""
"","","Tree Fallen","2024.07.16","1","1","","","","","1","","","","","","","",""
"රත් පුර","Kolonna","Tree Fallen","","1","5","","","","","1","","","","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","","","","","","","",""
"Rathnapura","","Tree Fallen","","3","11","","","","","3","","","","","","","",""
"","Pelmadulle","","","","","","","","","","","","","","","","",""
"","","High Wind","","1","6","","","","","1","","","","","","","",""
"සබරගමුව පලොත","Opanayaka","Tree Fallen","2024.07.15","2","6","","","","","2","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","Kahawaththa","Tree Fallen","","2","3","","","","","2","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","Tree Fallen","","1","4","","","","","1","","","","","","","",""
"","Elapatha","","","","","","","","","","","","","","","","",""
"","","High Wind","","","","","","","","","","","","","","","",""
"","","","","1","4","","","","","1","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15","51","0","0","0","0","14","","1","","0","2","4","21",""
"","Kegalle","","2024.07.14","1","2","","","","","1","","","","","","","",""
"","Yatiyantota","","","1","4","","","","","1","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","","","",""
"Nffhiy","Ruwanwella","Tree Fallen","","2","6","","","","","2","","","","","","","",""
"","","","2024.07.15","","","","","","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","","","","","",""
"","Deraniyagala","","","2","9","","","","","2","","","","","","","",""
"","Dehiowita","","","1","4","","","","","1","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","7","25","0","0","0","0","7","","0","","0","0","0","0",""
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","22","76","0","0","0","0","21","","1","","0","2","4","21",""
"කිලින ොච්චිය","","","","","","","","","","","","","","","","","","Drinking water is being"
"3
fpspnehr;rp","Karachchi","Drought","2024.06.24","239","732","","","","","","","","","","","","","distributed for drought"
"","","","","","","","","","","","","","","","","","","areas"
"Killinochchi","","","","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","239","732","0","0","0","0","0","","0","","0","0","0","0",""
"උතුරු පලොත","","","","","","","","","","","","","","","","","",""
"tl khfhzk; 
යොප ය","","","","","","","","","","","","","","","","","",""
"Northen
4
aho;g;ghzk  ;","Chankanai","Drought","2024.06.25","8118","25506","","","","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8118","25506","0","0","0","0","0","","0","","0","0","0","0",""
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","8357","26238","0","0","0","0","0","","0","","0","0","0","0",""
"ගොල්ල","","","","","","","","","","","","","","","","","",""
"5","fhyp           
Niyagama","Tree Fallen","2024.07.16","1","4","","1","","","1","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","","","",""
"Galle","","","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","","",""
