"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","1221","5277","0","3","0","0","10","0","0","1","1",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","2983","12773","0","3","0","0","37","0","0","6","86","302"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","132071","441373","14","19","1","99","2082","10","9","338","12054","37863"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","ලවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….....................................","","","","","","","","","Deputy Director"
"","","","H.D.G.Priyantha","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
