"රත්නපුර","","Drinking water scarcity","","","","","","","","","","","","","","","","Providing Drinking"
"","Kalthota","","2023.08.11","328","936","","","","","","","","","","","","","Water"
"1
,uj;jpdGhp","","due to prevailing dry","","","","","","","","","","","","","","","",""
"","Kolonna","","2023.08.14","516","1979","","","","","","","","","","","","",""
"Rathnapura","","weather condition","","","","","","","","","","","","","","","",""
"","Balangoda","","2023.08.14","1648","7113","","","","","","","","","","","","",""
"","Embilipitiya","","2023.08.16","4351","20616","","","","","","","","","","","","",""
"","Openayaka","","2023.08.19","1780","5869","","","","","","","","","","","","",""
"","Ayagama","High Wind","2023.08.29","1","3","","","","","1","","","","","","","",""
"","Nivithigala","Tree Fallen","2023.08.29-30","2","8","","","","","2","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","","",""
"","Rathnapura","Heavy Rain","2023.08.30","3","13","","","","","3","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","Kalawana","Heavy Rain","2023.08.30","1","1","","","","","1","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","Pelmadulla","High Wind","2023.08.30","1","4","","","","","1","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","12342","49722","0","0","0","0","8","","0","","0","0","0","0",""
"","Kegalle","","2023.08.21","260","920","","","","","","","","","","","","",""
"","Mawanelle","","2023.08.22","908","3570","","","","","","","","","","","","",""
"","","Drinking water scarcity","","","","","","","","","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","","","",""
"2","Deraniyagala","due to prevailing dry","2023.08.23","20","78","","","","","","","","","","","","",""
"","Nffhiy  Kegalle","","","","","","","","","","","","","","","","",""
"","","weather condition","","","","","","","","","","","","","","","",""
"","Warkapola","","2023.08.23","70","280","","","","","","","","","","","","",""
"","Ruwanwella","","2023.08.23","110","550","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1368","5398","0","0","0","0","0","","0","","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","13710","55120","0","0","0","0","8","","0","","0","0","0","0",""
"","Seruwila","","","1323","4452","","","","","","","","","","","","",""
"","","Drinking water scarcity","","","","","","","","","","","","","","","",""
"","Kuchchaveli","","","987","3219","","","","","","","","","","","","",""
"","","due to prevailing dry","2023.08.01","","","","","","","","","","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","","",""
"","","weather condition","","","","","","","","","","","","","","","",""
"jp.kiy 
3","Gomarankadawela","","","50","195","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","","","",""
"","Padavisripura","","","2","7","","","","","2","","","","","","","",""
"","","High Wind","2023.08.30","","","","","","","","","","","","","","",""
"","Thampalagamam","","","2","5","","","","","2","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2364","7878","0","0","0","0","4","","0","","0","0","0","0",""
"","Porativu Pattu","","","1528","4674","","","","","","","","","","","","",""
"","Eravur pattu","","","3524","12343","","","","","","","","","","","","",""
"මඩකලපුව","Koralaipattu","Drinking water scarcity","","2161","6856","","","","","","","","","","","","",""
"","","","2023.08.11","","","","","","","","","","","","","","",""
"4
kl;lf;fsg;G","Manmunai south west","due to prevailing dry","","853","2681","","","","","","","","","","","","",""
"නැගගනහිර පලාත","","","","","","","","","","","","","","","","","",""
"Batticaloa","","weather condition","","","","","","","","","","","","","","","",""
"","Manmunai west","","","1729","6300","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","",""
"","Koralaipattu west","","","150","525","","","","","","","","","","","","",""
"Eastern Province","","","","","","","","","","","","","","","","","",""
"","Koralai Pattu Central","","2023.08.25","382","1337","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","10327","34716","0","0","0","0","0","","0","","0","0","0","0",""
