"","රත්නපුර","Nivithigala","Heavy Rain & Wind","2023.09.12","4","6","","","","","","1","3","","","",""
"","1
,uj;jpdGhp","","","","","","","","","","","","","","","",""
"","","Rathnapura","Heavy Rain","2023.09.11","1","4","","","","","","1","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","",""
"","","Kuruwita","High Wind","2023.09.11","2","4","","","","","","2","","","","",""
"","","Godakawela","High Wind","2023.09.12","1","4","","","","","","1","","","","",""
"","","Kalawana","Heavy Rain","2023.09.11","1","5","","","","","","1","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","11","27","","0","0","0","0","8","3","0","0","0","0"
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","",""
"rg;ufKt","","Aranayaka","High Wind","2023.09.08","1","4","","","","","","1","","","","",""
"Sabaragamuwa","","Ruwanwella","Heavy Rain","2023.09.08","1","4","","","","","","1","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","","",""
"","","Kegalle","High Wind","2023.09.09","1","5","","","","","","1","","","","",""
"","Nffhiy      
2","","","","","","","","","","","","","","","",""
"","Kegalle","","High Wind","2023.09.09","3","14","","","","","","3","","","","",""
"","","Warakapola","","","","","","","","","","","","","","",""
"","","","High Wind","2023.09.11-12","3","10","","","","","","3","","","","",""
"","","Dehiowita","High Wind","2023.09.10","1","4","","","","","","1","","","","",""
"","","Rambukkana","Tree Fallen","2023.09.11","1","4","","","","","","1","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","11","45","","0","0","0","0","11","0","0","0","0","0"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","22","72","","0","0","0","0","19","3","0","0","0","0"
"","මන්නාරම","","","","","","","","","","","","","","","",""
"","kd;dhH    
3","Mannar Town","High Wind","2023.09.08","1","5","","","","","","1","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"Northen ;","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","1","5","","0","0","0","0","1","0","0","0","0","0"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","1","5","","0","0","0","0","1","0","0","0","0","0"
"","","Alawwa","Tree Fallen","2023.09.08","1","1","","","","","","1","","","","",""
"","කුරුනෑගල","","","","","","","","","","","","","","","",""
"","4
FUdhfy;","Polpithigama","Heavy Rain","2023.09.10","1","4","","","","","","1","","","","",""
"ෙයඹ පලාත","","","","","","","","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","","Pannala","Heavy Rain","2023.09.10","1","3","","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","3","8","","0","0","0","0","3","0","0","0","0","0"
