"","","","","","","","","","","","නිවාස්ත්‍ හානි","","",""
"","","","","","","බලපෑමට ලක්වු","","","","","","","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு Administrative","","","","","","","","Nrjkil e ;j","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg ;ghd",""
"","","","","","","ghjp f;fg;gl ;l","","","","","","","",""
"","","","purview","","","","","","","","tPLfs ; Houses","Other Damages","miktp l k; Safe Location",""
"","","","","","","Affected","","","තුවාලවු","අතුරුදහ","","","",""
"","","","","","","","","","","","Damaged","","",""
"","","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","",""
"","","","","ආපදාව","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","",""
"පළාත khfhzk;","","","","","","","","kuzq;f","fhaki","fhzhk","","කුඩා හා මධය","","ලවනත් කරුණු                 NtW"
"","#","","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","ඉතා වැදගත් යටිතල","",""
"","","","","","","","","s ;","l e ;NjhH","y;NghNd","","පරිමාණ වයාපාරික","ආරක්ිත","Fwpg;Gf;fs ; Remarks"
"Province","","","","","","","","","","","","පහසුකම් වලට වූ","",""
"","","","","Disaster","Date of","","","Deaths","","hH","ස්ත්‍","රථාන சிறிய,","ස්ත්‍
රථාන  
පවුේ",""
"","","","","","","","","","","","පූර්ණ","","",""
"","","","ප්‍රා.ලේ. ලකා","","","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","","Injured","Missing","අර්ධ හානි","හානි 
நடுத்தர,","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්",""
"","","දිස්ත්‍රික්කය","","","commenced","","","","","","හානි 
gFjp as","mbg ;gil f;","ස්ත්‍ංඛ්‍යාව",""
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs ;","egH fs ;","","People","People","","நிறுவனங்களின்","vz;zp f;i
egH fs ; 
FLk;gq;f",""
"","","","","","","","","","","","T 
KO ik","fl ;l ikg ;G f;fs ;","",""
"","","மாவட்டம் District","","","","Families","People","","","","","சேதங்கள்; Small,","s ; 
Persons
f   No.",""
"","","","Division","","","","","","","","Partially
Fully","Damages to","",""
"","","","","","","","","","","","","Medium,","Families
of Safety",""
"","","","","","","","","","","","","critical","",""
"","","","","","","","","","","","","Enterprises","Locations",""
"","","","","","","","","","","","","Infrastructure","",""
"","","","","","","","","","","","","Damages","",""
"","","","","","2022.10.12","1","3","","","","1","","",""
"","","","","Highwind","","","","","","","","","",""
"","","හම්බනනතොට","Beliaththa","","2022.10.16","1","4","","","","1","","",""
"","1","`k;ghe;Njhl;il","","","","","","","","","","","",""
"","","Hambantota","","Landslide","2022.10.14","","","","","","","1","",""
"","","","Katuwana","High Wind","2022.10.13","1","2","","","","1","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3","9","0","0","0","0
3","0
1","0
0","0"
"දකුනු පලොත","","","","","","","","","","","","","",""
"njd; khfhzk;","","","Weilivitiya Divithura","Cutting Failure","2022.10.14","11","44","","","","11","","",""
"Southern","","","","Rock Fallen","2022.10.15","1","5","","","","1","","",""
"","","ෙොල්ල","","","","","","","","","","","",""
"","2","","Rathgama","","","","","","","","","","",""
"","","fhyp              Galle","","Collaps Of The wall","2022.10.22","1","4","","1","","1","","",""
"","","","Habaraduwa","Heavy Rain","2022.10.15","5","17","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","18","70","0","1","0","1
12","0
0","0
0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","21","79","0","1","0","1
15","0
1","0
0","0"
"","","","","Lightning","2022.10.12","1","5","1","","","","","",""
"","","","Muthur","","","","","","","","","","",""
"","","","","High wind","2022.10.20","1","1","","","","1","","",""
"","","ත්‍රීකුණොමලය","Gomarankadawala","","2022.10.15","1","3","","","","1","","",""
"","3","jp.kiy","","","","","","","","","","","",""
"","","Trincomalee","Seruwila","Heavy Rain & Wind","2022.10.16","1","5","","","","1","","",""
"","","","","","2022.10.20","4","11","","","","3","1","",""
"","","","Kinniya","High wind","2022.10.20","1","2","","","","1","","",""
"ැනෙ හිර පලොත","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","9","27","1","0","0","0
7","1
0","0
0","0"
"fpof;F","","","","","","","","","","","","","",""
"","","","Damana","","","1","3","","","","1","","",""
"Eastern","","","","High wind & Heavy Rain","","","","","","","","","",""
"","","","Ampara","","","22","77","","","","22","2
1","",""
"","","අම්පොර","","","","","","","","","","","",""
"","4","","Uhana","Lightning","2022.10.16","1","4","","","","1","","",""
"","","mk;ghiw  Ampara","","","","","","","","","","","",""
"","","","","Heavy Rain","","1","4","","","","1","","",""
"","","","Padiyathalawa","","","","","","","","","","",""
"","","","","Lightning","","2","3","","","","2","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","27","91","0","0","0","0
27","2
1","0
0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","36","118","1","0","0","0
34","3
1","0
0","0"
"","","කිලින ොච්චිය","","","","","","","","","","","",""
"","5","fpspnehr;rp","Karachchi","High wind","2022.10.13","1","5","","","","1","","",""
"උතුරු පලොත","","","","","","","","","","","","","",""
"","","Killinochchi","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","5","0","0","0","0
1","0
0","0
0","0"
"Northen","","","","","","","","","","","","","",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1","5","0","0","0","0
1","0
0","0
0","0"
"","","","Dodangoda","","2022.10.13","6","22","","","","6","","",""
"","","","Ingiriya","","2022.10.13","5","22","","","","2","","",""
"","","","Horana","","2022.10.13","2","9","","","","2","","",""
"","","","Beruwala","","2022.10.14","7","27","","","","7","","",""
