"","","","","","Page 2","","","","","","","","",""
"","","2019.11.02","1","4","","","","","1","","","","",""
"","","Tree Fallen","","","","","","","","","","","",""
"","Badulla","2019.11.03","1","1","","","","","1","1","","","",""
"","බදුල්ල","2019.10.28/30/3","","","","","","","","","","","",""
"7","gJs;is","Heavy Rain","5","28","","","","","5","","","","",""
"ඌව","","1","","","","","","","","","","","",""
"Cth khfhzk","Badulla","","","","","","","","","","","","",""
"","Passara","Heavy Rain
2019.10.29","1","4","","","","","1","","","","",""
"Uva","","","","","","","","","","","","","",""
"","","2019.10.25/27/2","","","","","","","","","","","",""
"","Uva Paranagama","Heavy Rain","22","102","","","","","22","","","","",""
"","","9","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","30","139","0","0","0","0","30","1","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","30","139","0","0","0","0","30","1","0","0","0","0"
"","මුලතිව්","","","","","","","","","","","","",""
"8","Welioya
Ky;iyj;jPT","Flood
2019.10.28","8","21","","","","","8","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","",""
"tl khfhzk;","Mulaitivu","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","8","21","0","0","0","0","8","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","8","21","0","0","0","0","8","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","152","592","0","0","0","0","97","3","1","1","40","135"
"","","","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
