"2019.06.03","332","1180","","","","","","","","","",""
"","12043","37856","0","0","0","0","0","0","0","0","0","0"
"","12043","37856","0","0","0","0","0","0","0","0","0","0"
"","159673","568082","0","2","2","35","54","0","0","7","69","272"
"","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","","මාධය ප්‍රකා඾ක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆ෉ක්ස෇/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් ත෉ප෉ල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","නලබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","……………………………………………………….","","","","","","","","",""
"","","","T.W.K.I.Pushpakumara","","","","","","","","",""
"","","","Assistant Director  / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
