"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"27.11.24/1800","9.0/82.1","50-60 gusting to 70","Deep Depression"
"28.11.24/0000","9.3/82.0","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/0600","9.6/81.9","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/1200","10.0/81.8","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/1800","10.4/81.6","60-70 gusting to 80","Cyclonic Storm"
"29.11.24/0600","11.0/81.0","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/1800","11.5/80.4","50-60 gusting to 70","Deep Depression"
"30.11.24/0600","11.9/79.8","50-60 gusting to 70","Deep Depression"
"30.1124/1800","12.3/79.2","40-50 gusting to 60","Depression"
