"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"01.12.23/2330","10.3/85.3","45-55 kmph gusting to 65 kmph","Depression"
"02.12.23/1130","10.9/84.3","50-60 kmph gusting to 70 kmph","Deep Depression"
"02.12.23/2330","11.6/83.1","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"03.12.23/1130","12.3/82.0","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"03.12.23/2330","13.1/81.1","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"04.12.23/1130","14.0/80.4","75-85 kmph gusting to 95 kmph","Cyclonic Storm"
"04.12.23/2330","14.9/80.4","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/1130","15.9/80.6","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/2330","16.9/81.4","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"06.12.23/1130","18.0/82.9","45-55 kmph gusting to 65 kmph","Depression"
