"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","136","531","0","0","0","0","10","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","136","531","0","0","0","0","10","0"
"","12100","38666","1","1","0","3","66","0"
"","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","",""
"","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","",""
"","","","……………………………………………………….","","","","",""
"","","","Nuwan Madawanrachchi","","","","",""
"","","","Assistant Director / Duty Officer","","","","",""
"","","","For Director General","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","",""
