"","","","","","","Water","Water","","","24 Hr RF"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.25","0.25","Normal","","1.6"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya (HMIS)","m","3.00","4.30","6.00","-0.06","-0.07","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.91","-2.93","Normal","","3.4"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","3.65","3.70","Normal","","15.5"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","2.06","2.04","Normal","","22.6"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.37","0.39","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.56","1.56","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.56","0.56","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","1.30","1.31","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.57","0.57","Normal","","0.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","1.22","1.34","Normal","","24.4"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","3.30","3.30","Normal","","26.1"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","2.25","2.20","Normal","","33.7"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","2.24","2.20","Normal","","33.6"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
W.A.S. Saumya (H.D.S.)(Act.)","","","","","","","","","",""
"Checked by :","","","","","","","","","",""
